,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.1,1.71,3.25,3.39,3.01,2.93,0.95,1.02,0.72,0.63,0.6,0.9,0.64,0.43,0.83,0.43
f_1,2.83,1.11,3.34,3.37,3.28,2.84,0.64,0.98,0.65,0.71,0.66,1.03,0.6,0.33,0.56,0.58
c_1,2.67,3.25,1.11,3.74,3.48,3.31,1.06,0.96,0.4,0.7,1.0,0.69,0.67,0.48,0.61,0.47
d_1,4.12,3.47,3.59,1.1,3.57,2.85,0.91,0.6,1.28,0.67,0.63,0.67,0.62,0.43,0.61,0.31
b_1,4.3,4.51,2.26,3.88,1.11,3.92,1.03,1.2,0.74,1.39,1.05,0.71,0.73,0.62,0.86,0.63
a_1,4.81,5.64,4.98,4.62,2.52,1.13,1.83,1.84,1.26,1.44,1.13,1.22,1.78,0.83,1.39,0.89
h_1,11.8,14.97,11.22,10.15,10.92,8.49,1.62,3.15,2.62,2.43,2.34,2.29,2.41,2.25,2.25,1.92
g_1,15.3,13.74,13.57,12.77,14.52,11.7,3.25,1.64,3.4,3.12,2.97,2.74,3.09,1.45,2.59,3.17
d_0,9.02,13.68,15.45,19.66,16.44,15.49,4.79,5.67,2.06,3.6,3.2,3.78,3.09,2.46,3.11,2.25
b_0,14.07,14.52,20.84,11.07,24.24,13.66,4.44,3.79,3.38,1.87,1.69,3.09,2.78,2.08,2.59,1.8
c_0,16.84,16.21,28.58,8.82,16.63,17.73,4.53,4.13,5.28,2.84,1.95,3.31,2.78,2.38,3.16,2.17
f_0,19.32,29.29,14.95,15.6,19.19,19.12,5.21,3.13,3.73,3.31,3.4,1.94,3.42,2.66,3.19,1.66
a_0,22.52,24.73,23.75,21.11,33.26,26.82,6.37,6.79,4.93,2.45,3.51,4.23,2.25,3.31,3.21,2.77
h_0,23.09,23.19,23.75,22.61,22.7,19.12,8.26,6.73,4.62,4.47,4.2,4.71,3.93,4.66,3.72,3.36
e_0,36.71,35.9,23.24,20.83,28.32,23.39,6.09,5.2,5.2,5.63,4.65,2.52,5.42,4.14,2.22,3.39
g_0,27.19,30.35,25.23,28.02,27.24,27.15,6.0,10.72,6.88,5.49,5.33,5.59,4.53,3.13,4.7,4.65
