,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.18,0.74,0.69,0.61,0.62,0.65,0.19,0.14,0.12,0.31,0.16,0.12,0.09,0.11,0.06,0.14
f_1,0.66,0.17,0.63,0.75,0.68,0.53,0.14,0.13,0.21,0.14,0.11,0.2,0.07,0.13,0.11,0.11
e_1,0.74,0.36,0.16,0.71,0.75,0.69,0.19,0.16,0.23,0.14,0.15,0.19,0.1,0.14,0.12,0.28
c_1,0.81,0.74,0.55,0.14,0.81,0.58,0.16,0.2,0.17,0.07,0.12,0.11,0.09,0.13,0.09,0.12
b_1,0.63,0.87,0.62,0.35,0.13,0.79,0.26,0.16,0.22,0.13,0.28,0.14,0.11,0.16,0.11,0.14
a_1,0.73,0.68,0.68,0.77,0.32,0.09,0.24,0.16,0.21,0.16,0.15,0.17,0.13,0.26,0.12,0.12
h_1,0.43,0.5,0.55,0.69,0.51,0.52,0.06,0.1,0.14,0.12,0.1,0.11,0.12,0.08,0.08,0.09
c_0,0.29,0.65,0.62,0.95,0.49,0.53,0.15,0.06,0.17,0.15,0.13,0.11,0.09,0.12,0.08,0.1
g_1,0.47,0.64,0.56,0.58,0.55,0.44,0.1,0.1,0.05,0.12,0.1,0.09,0.06,0.11,0.09,0.08
d_0,0.8,0.51,0.28,0.52,0.67,0.54,0.18,0.12,0.2,0.06,0.14,0.1,0.08,0.13,0.09,0.11
b_0,0.41,0.53,0.48,0.86,0.75,0.48,0.17,0.06,0.16,0.12,0.06,0.13,0.09,0.11,0.08,0.11
f_0,0.47,1.12,0.48,0.6,0.44,0.48,0.14,0.11,0.1,0.12,0.1,0.05,0.08,0.12,0.04,0.11
h_0,0.49,0.53,0.46,0.54,0.55,0.47,0.22,0.1,0.14,0.11,0.11,0.1,0.11,0.09,0.08,0.08
a_0,0.44,0.61,0.5,0.72,0.62,0.96,0.13,0.08,0.16,0.15,0.05,0.1,0.08,0.04,0.07,0.1
g_0,0.45,0.62,0.54,0.6,0.53,0.45,0.13,0.1,0.17,0.13,0.1,0.1,0.06,0.09,0.1,0.11
e_0,0.43,0.7,0.85,0.43,0.51,0.56,0.14,0.12,0.12,0.15,0.1,0.05,0.08,0.1,0.06,0.04
