,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.78,4.25,2.57,3.05,2.84,2.61,9.31,13.29,9.68,11.22,13.27,9.11,16.83,11.74,10.13,18.69
e_1,3.05,5.96,2.24,3.47,2.7,2.93,10.94,21.94,9.93,11.72,14.15,14.84,20.42,14.62,12.06,20.64
d_1,3.24,2.72,6.55,1.99,2.53,3.06,10.57,8.83,11.4,23.23,17.45,15.45,23.27,19.02,16.5,20.43
c_1,2.75,2.59,2.6,6.9,5.08,2.97,10.09,12.46,10.07,7.92,11.42,13.0,20.67,12.94,13.11,19.1
b_1,2.51,2.67,3.14,2.8,7.98,6.08,10.67,11.88,10.73,10.53,8.26,15.28,18.16,11.92,13.41,19.72
a_1,2.97,2.73,3.02,2.98,2.86,11.0,10.28,12.68,10.93,13.39,14.64,17.82,22.85,12.7,18.5,23.33
h_1,3.69,2.95,3.45,2.75,3.04,2.89,18.2,13.32,15.11,13.75,14.9,13.82,17.01,15.2,16.72,26.15
d_0,3.07,2.69,2.07,5.21,3.91,2.7,10.53,19.73,9.73,9.37,13.01,16.09,21.05,14.39,15.91,21.85
g_1,2.64,2.72,4.53,2.88,3.21,2.89,9.81,11.73,22.32,14.87,16.71,23.89,22.67,17.22,19.19,18.5
c_0,3.26,2.73,3.72,2.34,2.71,3.13,12.04,13.12,14.48,21.51,27.95,17.87,23.68,22.41,18.42,25.29
b_0,3.34,3.17,3.43,3.16,2.29,1.79,12.91,14.49,12.25,14.34,24.26,16.22,24.0,32.48,17.01,21.49
f_0,2.64,2.41,3.93,2.98,3.66,3.22,10.86,11.91,13.26,15.29,16.43,26.67,27.82,17.9,31.5,27.11
h_0,3.82,2.69,3.28,2.89,3.16,3.37,8.93,12.45,13.6,14.63,16.36,16.69,19.17,16.27,16.79,24.91
a_0,3.32,2.82,3.5,3.26,3.32,1.88,11.7,13.72,12.2,15.76,17.4,17.75,24.32,30.6,16.21,19.38
e_0,3.23,2.54,3.68,2.72,3.53,3.11,11.93,13.05,12.69,13.92,18.69,17.9,22.95,15.66,30.96,27.57
g_0,2.76,2.56,4.49,2.7,3.2,3.23,11.32,11.26,11.17,14.88,16.61,24.48,22.48,18.52,15.94,21.9
