,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.55,3.52,4.04,5.0,3.87,0.83,0.79,1.32,0.77,0.88,1.48,0.45,0.76,0.8,0.79
e_1,2.61,1.12,4.32,4.72,4.15,4.48,1.57,0.96,1.5,1.15,0.79,1.09,0.72,0.97,2.27,0.83
d_1,5.18,5.29,1.12,5.25,4.1,4.02,1.19,2.35,0.82,0.9,0.81,0.71,0.71,0.74,0.82,0.42
c_1,4.45,4.15,7.8,1.12,4.7,4.71,1.46,0.53,1.47,1.88,0.99,1.03,0.74,0.97,1.02,0.8
b_1,5.97,7.16,6.19,3.1,1.13,6.15,2.01,1.37,1.65,1.45,3.15,0.95,0.93,1.19,1.0,0.78
a_1,10.01,7.92,7.84,10.22,3.69,1.15,2.8,2.03,2.43,1.85,2.36,1.76,1.07,4.43,2.02,1.33
h_1,14.06,14.45,13.62,14.11,14.5,13.94,1.71,3.17,4.8,2.77,2.74,3.13,3.33,2.54,2.65,1.91
d_0,17.54,9.71,35.56,17.23,20.86,19.37,5.51,2.22,5.69,4.65,3.44,4.1,2.66,4.32,3.3,3.27
g_1,19.61,20.11,18.66,21.4,20.24,16.28,3.64,4.96,1.81,2.99,3.27,3.19,2.21,4.12,3.08,3.04
c_0,23.04,21.14,9.49,39.36,23.58,18.1,5.84,6.09,6.0,2.15,3.83,4.03,2.9,3.42,3.52,2.82
b_0,23.9,25.52,19.99,29.52,55.35,22.01,6.9,5.88,5.42,2.69,2.44,4.86,3.27,4.54,4.37,3.04
f_0,50.99,29.13,25.79,29.25,32.67,21.29,9.35,5.74,4.23,5.38,5.13,2.5,3.61,4.84,4.65,2.26
h_0,36.42,33.04,25.59,31.56,39.3,24.52,12.99,7.01,9.88,6.15,6.18,5.02,6.43,6.37,5.5,4.95
a_0,45.52,33.33,25.21,32.53,46.76,44.02,10.48,8.9,9.21,5.52,3.29,5.81,4.71,2.67,9.07,4.32
e_0,50.99,47.44,28.39,36.64,45.2,27.67,8.29,6.31,8.51,5.77,5.34,3.04,4.11,7.12,2.44,4.51
g_0,46.63,42.05,39.28,51.42,36.65,31.75,8.53,8.16,14.61,7.6,7.54,6.88,4.77,8.07,5.85,7.14
