,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.96,0.78,1.15,0.91,0.66,0.52,0.62,0.43,0.52,0.44,0.44,0.34,0.38,0.36,0.35
d_1,1.02,1.0,1.08,0.92,0.84,0.7,0.48,0.5,0.55,0.35,0.46,0.37,0.36,0.26,0.35,0.33
f_1,1.29,0.92,1.0,1.07,0.81,0.72,0.41,0.42,0.4,0.46,0.37,0.37,0.33,0.34,0.28,0.3
c_1,0.89,1.06,0.95,1.0,1.33,0.7,0.51,0.3,0.41,0.43,0.34,0.39,0.35,0.31,0.32,0.26
b_1,1.09,1.18,1.23,0.74,1.0,1.34,0.57,0.46,0.5,0.48,0.44,0.42,0.43,0.38,0.35,0.31
a_1,1.48,1.41,1.43,1.44,0.76,1.0,0.73,0.65,0.57,0.66,0.64,0.59,0.5,0.48,0.43,0.42
h_1,1.93,2.13,2.51,1.93,1.71,1.34,1.0,0.84,0.81,1.03,0.78,0.73,0.69,0.72,0.6,0.66
d_0,1.62,1.97,2.31,3.29,2.25,1.55,1.22,1.0,0.77,1.07,0.96,0.83,0.75,0.7,0.71,0.72
c_0,2.38,1.89,2.54,2.48,1.96,1.64,1.15,1.28,1.0,0.94,1.21,0.93,0.85,0.76,0.77,0.81
g_1,1.84,2.78,2.18,2.31,2.11,1.52,0.98,0.96,1.07,1.0,1.05,1.06,0.69,0.69,0.81,0.68
b_0,2.34,2.24,2.88,2.81,2.22,1.46,1.26,1.03,0.8,1.0,1.0,0.88,0.92,0.89,0.7,1.01
f_0,2.24,2.69,2.68,2.62,2.34,1.73,1.33,1.22,1.12,0.92,1.13,1.0,0.93,0.74,1.06,0.79
h_0,2.86,2.78,3.16,2.91,2.32,1.94,1.41,1.36,1.14,1.46,1.1,1.1,1.0,1.06,0.76,0.79
g_0,2.66,3.85,3.08,3.27,2.68,2.16,1.33,1.36,1.3,1.46,1.1,1.38,0.93,1.0,0.96,0.89
e_0,2.89,2.85,3.62,3.19,3.02,2.13,1.67,1.4,1.38,1.17,1.4,0.98,1.25,1.08,1.0,0.96
a_0,2.87,2.92,3.5,3.8,3.19,2.59,1.61,1.39,1.27,1.49,1.01,1.25,1.27,1.08,0.98,1.0
