,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.76,1.03,0.61,0.63,0.54,0.48,2.01,1.71,2.59,2.91,3.08,0.72,5.02,2.96,2.11,4.02
e_1,0.67,5.95,0.64,0.46,0.62,0.49,2.31,2.07,5.58,3.2,3.16,2.91,3.66,2.85,0.61,4.8
c_1,0.57,0.45,6.35,0.72,0.97,0.61,2.2,2.26,2.94,0.45,2.83,3.18,4.61,2.44,3.39,4.37
d_1,0.71,0.52,0.54,6.4,0.66,0.6,2.26,2.32,0.64,5.19,3.7,2.83,4.98,2.7,2.95,3.01
b_1,0.59,0.52,0.61,0.58,7.37,1.06,2.3,2.3,3.08,3.16,0.4,3.16,3.75,3.08,3.31,4.64
a_1,0.57,0.81,0.46,0.78,0.49,10.84,2.39,2.16,2.62,2.9,2.96,2.91,3.76,,3.09,3.27
h_1,1.24,1.02,1.03,1.2,1.04,0.85,14.83,4.39,4.42,4.74,4.69,4.45,2.45,5.14,5.08,10.74
g_1,0.9,0.58,1.08,1.67,1.0,1.01,3.55,18.94,4.49,4.86,5.69,10.0,6.34,6.21,7.56,3.65
d_0,1.07,1.17,2.06,0.33,0.84,1.07,3.38,3.76,13.16,4.32,4.85,6.34,7.18,4.14,5.7,7.9
c_0,1.12,1.14,0.48,1.24,0.81,1.34,4.33,3.76,5.4,13.91,10.14,4.82,8.2,6.45,5.98,7.27
b_0,1.25,1.12,1.08,1.1,0.4,0.99,3.81,4.43,4.92,6.02,16.1,5.44,9.75,11.2,6.54,8.78
f_0,0.43,0.85,1.44,1.1,1.16,1.23,4.24,4.44,6.27,6.09,3.98,17.91,8.35,3.99,12.47,9.38
h_0,1.66,1.08,1.24,0.98,0.92,0.81,0.97,5.34,4.67,3.57,4.58,4.82,2.7,5.06,4.39,9.39
a_0,1.15,1.27,1.2,1.08,1.25,,4.18,2.66,3.78,4.55,5.7,3.99,7.12,21.69,3.06,6.99
e_0,1.18,0.39,1.07,1.02,1.38,1.29,4.32,4.32,6.32,5.04,4.93,6.93,11.2,5.48,23.7,7.74
g_0,1.06,1.03,1.2,1.57,0.9,1.02,3.29,1.73,4.42,3.91,3.32,5.99,7.36,5.16,5.16,3.43
