,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.37,0.87,0.91,1.04,0.87,0.86,1.09,0.92,0.9,0.92,1.15,0.95,1.08,1.02,0.85
e_1,0.73,1.0,1.03,1.1,0.97,1.06,1.09,0.95,1.06,1.44,1.01,1.09,1.12,0.99,1.2,1.37
d_1,1.15,0.97,1.0,0.84,0.96,0.91,0.95,0.99,1.37,1.13,1.1,0.96,1.02,0.99,0.83,0.94
c_1,1.1,0.91,1.19,1.0,1.28,0.9,0.98,0.8,0.75,0.74,0.85,1.0,0.85,0.86,1.1,0.89
b_1,0.96,1.03,1.04,0.78,1.0,1.34,1.24,0.97,1.08,0.91,1.01,0.94,1.09,0.87,0.99,1.03
a_1,1.15,0.95,1.1,1.11,0.75,1.0,1.05,1.02,0.81,0.9,1.16,0.99,1.23,1.11,0.93,1.14
h_1,1.19,0.89,1.06,1.03,0.8,0.95,1.0,1.18,1.01,1.06,1.01,0.78,1.05,0.91,1.12,0.93
g_1,0.94,0.99,1.06,1.22,0.99,0.94,0.85,1.0,1.01,0.85,0.91,1.3,0.77,0.83,1.03,0.92
c_0,1.11,0.94,0.73,1.43,0.99,1.19,0.97,0.99,1.0,1.17,1.42,1.18,0.95,1.15,1.07,0.94
d_0,1.09,0.65,0.91,1.46,1.11,1.02,0.94,1.16,0.82,1.0,0.91,0.94,0.99,1.03,1.01,0.96
b_0,1.07,1.01,0.86,1.21,0.93,0.87,1.0,1.08,0.71,1.04,1.0,0.98,0.96,1.33,1.07,1.13
f_0,0.86,0.9,1.04,1.03,1.07,1.06,1.34,0.75,0.93,1.06,1.03,1.0,0.96,0.93,0.83,1.37
h_0,1.1,0.86,0.99,1.2,0.89,0.87,0.98,1.3,1.01,0.98,1.02,1.07,1.0,1.11,1.16,0.83
a_0,0.92,0.99,1.07,1.12,1.2,0.83,1.12,1.24,0.85,0.99,0.77,1.03,0.89,1.0,0.97,0.85
g_0,0.96,0.85,1.16,0.97,0.97,1.12,0.88,1.02,0.9,1.0,0.93,1.2,0.85,1.02,1.0,1.51
e_0,1.29,0.77,1.01,1.17,0.91,0.86,1.07,1.06,0.99,1.0,0.88,0.7,1.28,1.32,0.64,1.0
