,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.81,0.68,0.88,1.05,0.79,0.74,0.98,0.83,0.85,1.65,0.98,0.97,0.98,0.96,0.72,0.87
d_1,0.83,1.92,0.82,0.68,0.74,0.73,1.05,1.02,1.72,0.59,1.05,1.17,1.01,1.15,1.13,1.05
f_1,1.3,0.79,1.84,0.76,0.66,0.67,0.91,0.95,0.92,0.99,0.74,1.0,0.85,1.09,0.6,0.89
c_1,0.66,0.79,0.84,1.98,1.37,0.86,0.89,0.81,0.64,0.85,0.92,0.63,1.07,0.75,0.95,1.04
b_1,0.76,0.8,0.79,0.8,2.05,1.46,0.93,0.94,0.73,0.92,0.89,0.64,1.05,0.71,1.03,0.96
a_1,0.86,0.9,0.83,0.83,0.8,2.68,0.96,1.07,0.86,0.94,0.96,1.01,0.94,0.82,1.16,0.86
h_1,0.82,0.96,1.11,0.89,0.78,0.68,1.65,1.24,1.0,0.91,1.1,1.2,0.84,1.0,1.03,1.34
g_1,0.8,1.28,0.82,0.73,0.78,0.84,1.04,2.05,1.21,0.82,1.53,1.16,0.96,1.0,1.19,0.97
c_0,0.87,1.08,0.93,0.7,0.74,0.7,1.16,1.14,1.59,1.01,1.22,2.05,1.12,1.53,1.1,1.12
d_0,0.76,0.67,0.88,1.54,0.96,0.7,1.0,0.87,0.64,1.54,0.95,0.95,1.06,0.92,0.95,1.04
f_0,0.7,0.94,0.85,0.9,0.97,0.78,1.15,1.25,1.11,0.98,1.77,1.26,1.22,1.0,2.14,1.24
b_0,0.8,1.1,0.98,0.93,0.63,0.55,1.06,1.06,1.08,0.94,1.16,1.79,1.24,2.14,1.18,1.12
h_0,0.8,1.0,1.09,0.93,0.82,0.84,0.79,1.32,0.92,0.97,1.07,1.1,0.81,1.11,1.07,1.44
a_0,0.79,0.98,0.98,0.93,0.79,0.6,1.15,1.09,1.09,0.99,1.11,1.2,1.23,2.04,1.27,1.29
e_0,0.68,1.05,0.95,0.87,0.8,0.8,1.22,1.15,1.1,0.92,1.2,1.22,1.33,1.07,2.21,1.25
g_0,0.68,1.28,0.72,0.98,0.78,0.81,0.91,0.87,1.07,0.81,1.54,1.1,1.03,0.96,1.28,0.91
