,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.19,1.05,0.81,0.81,0.61,0.42,0.37,0.38,0.36,0.33,0.3,0.27,0.25,0.31,0.27
e_1,0.84,1.0,0.99,0.77,0.88,0.72,0.51,0.68,0.55,0.4,0.41,0.45,0.36,0.42,0.39,0.32
c_1,0.95,1.0,1.0,1.12,1.3,0.75,0.5,0.31,0.46,0.29,0.33,0.33,0.3,0.25,0.27,0.31
d_1,1.23,1.29,0.9,1.0,0.88,0.66,0.6,0.48,0.37,0.59,0.46,0.39,0.4,0.4,0.37,0.29
b_1,1.21,1.14,0.76,1.13,1.0,1.41,0.51,0.55,0.43,0.54,0.37,0.47,0.4,0.36,0.31,0.31
a_1,1.64,1.39,1.33,1.49,0.72,1.0,0.73,0.73,0.6,0.54,0.61,0.51,0.48,0.47,0.45,0.45
h_1,2.47,1.9,1.94,1.65,1.98,1.31,1.0,0.8,1.01,0.84,0.71,0.7,0.68,0.68,0.56,0.64
d_0,2.52,1.45,3.36,2.2,2.03,1.36,1.23,1.0,1.09,0.83,0.83,0.73,0.79,0.85,0.73,0.76
g_1,2.59,1.83,2.18,2.77,2.25,1.81,0.99,0.93,1.0,0.98,0.89,0.95,0.66,0.82,0.66,0.75
c_0,2.81,2.54,3.27,1.69,1.74,1.86,1.15,1.24,1.02,1.0,1.5,1.08,0.78,0.76,0.86,0.7
b_0,3.19,2.4,3.11,2.12,3.18,1.58,1.47,1.15,1.13,0.69,1.0,1.01,0.82,0.83,1.14,0.83
f_0,2.8,2.25,2.93,2.5,2.34,2.03,1.38,1.31,1.04,0.93,0.95,1.0,0.94,1.1,0.78,0.66
h_0,3.64,2.83,3.07,2.47,2.45,2.15,1.57,1.24,1.54,1.29,1.17,1.04,1.0,1.0,0.85,1.21
e_0,4.1,2.39,3.94,2.43,2.84,2.35,1.55,1.16,1.26,1.33,1.19,0.97,0.99,1.0,0.81,0.91
a_0,3.19,2.72,3.75,2.61,3.13,2.19,1.72,1.38,1.51,1.2,0.87,1.29,1.18,1.26,1.0,1.14
g_0,3.65,3.18,3.48,3.7,3.0,2.19,1.51,1.35,1.44,1.35,1.15,1.49,0.81,1.03,0.88,1.0
