,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.65,2.71,1.41,1.48,1.31,1.28,5.66,6.74,6.57,5.02,6.43,3.57,8.73,4.98,7.07,10.7
e_1,1.59,5.77,2.05,1.41,1.1,1.41,5.38,12.68,6.58,5.3,8.91,7.41,12.1,4.65,8.81,10.65
c_1,1.6,1.17,6.64,1.31,3.11,1.53,5.38,6.46,2.91,4.86,4.42,7.37,10.68,9.07,6.1,8.88
d_1,1.89,1.54,1.17,6.89,1.39,1.11,5.42,3.47,13.16,5.49,7.78,7.54,12.85,7.77,8.42,12.35
b_1,1.45,1.34,1.52,1.49,7.49,3.36,5.15,6.05,6.42,4.8,2.71,7.09,10.37,8.38,4.92,10.13
a_1,1.54,1.22,1.43,1.67,1.59,10.39,6.93,7.14,7.79,8.04,8.15,8.93,9.62,8.26,3.39,10.97
h_1,2.44,1.74,1.65,2.29,1.78,1.61,17.25,7.2,8.27,8.73,8.86,9.74,7.66,10.98,9.46,18.5
d_0,1.72,1.85,3.54,1.01,2.2,1.62,6.38,15.0,7.32,6.63,8.8,9.49,13.81,11.56,9.23,14.75
c_0,1.92,1.77,1.21,2.21,1.46,1.77,8.27,9.04,17.47,7.38,19.04,10.04,14.87,9.65,11.6,16.51
g_1,1.63,1.59,2.21,2.84,1.69,1.89,5.95,7.21,7.26,21.54,8.18,13.54,12.18,10.47,9.05,6.58
b_0,2.19,1.99,2.01,1.75,1.02,1.01,8.37,8.62,9.73,8.6,20.38,8.59,16.83,10.42,23.78,14.29
f_0,1.31,1.41,2.22,2.28,1.88,2.16,7.3,9.04,8.1,7.61,10.13,21.77,12.84,24.4,11.17,15.57
h_0,2.6,1.62,1.89,1.96,1.55,1.81,4.47,9.18,9.76,9.27,10.47,8.3,9.39,8.02,9.55,18.24
e_0,1.81,1.13,2.08,2.48,2.09,1.72,7.82,8.7,9.54,6.86,8.64,11.1,12.12,26.16,11.83,18.56
a_0,2.32,1.87,1.83,2.36,1.95,0.59,6.36,11.34,9.93,5.77,9.08,8.96,16.97,12.44,27.5,15.74
g_0,1.49,1.55,1.74,3.54,1.68,1.63,6.49,6.43,9.54,5.58,9.11,14.96,11.56,11.4,10.8,9.86
