,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.07,10.85,8.05,9.59,7.75,8.65,3.48,2.24,,3.05,2.4,2.37,2.11,2.89,1.39,2.02
f_1,9.16,1.07,10.75,11.62,8.4,7.0,2.75,3.35,2.74,3.09,2.66,,1.46,2.15,2.09,2.24
e_1,12.0,6.06,1.07,9.05,8.11,7.89,3.43,3.36,3.24,3.72,3.11,2.86,1.95,2.1,1.53,
c_1,12.72,8.97,11.58,1.07,11.58,9.32,3.66,3.45,2.17,,2.6,3.6,2.89,2.19,2.41,3.58
b_1,11.9,12.46,12.29,7.21,1.07,,3.94,3.45,3.19,3.08,,2.9,2.18,,2.35,3.03
a_1,11.01,15.1,13.34,16.13,,1.07,7.11,,4.91,4.11,4.97,4.18,3.21,,3.31,
h_1,14.1,15.59,15.66,12.06,15.37,9.73,1.41,6.09,3.56,4.1,3.62,3.53,,3.72,3.68,2.98
g_1,17.63,17.34,16.12,13.02,17.06,,3.93,1.41,5.91,5.65,4.14,4.58,3.19,,,
d_0,,15.92,9.54,14.1,14.13,11.01,5.4,5.18,1.74,3.53,4.2,3.9,3.26,3.2,3.6,4.15
c_0,9.28,14.72,13.79,,15.78,13.19,5.58,4.65,4.96,1.78,5.11,3.83,2.81,4.02,2.84,4.42
b_0,17.95,16.39,14.92,21.09,,15.71,7.31,5.54,4.42,2.96,1.67,3.64,4.02,4.11,3.79,2.76
f_0,18.86,,15.95,14.61,15.29,14.63,7.38,5.35,5.12,5.05,7.73,1.76,3.9,4.8,2.24,4.95
h_0,15.07,16.27,20.23,15.72,17.25,15.37,,5.9,4.56,4.7,4.17,4.95,,3.76,3.75,3.17
a_0,18.98,21.17,26.51,23.14,,,7.25,,7.41,5.77,4.9,5.81,4.96,1.75,5.96,
g_0,20.68,17.09,23.66,18.01,17.75,17.18,5.05,,5.37,6.3,5.57,7.49,3.71,4.76,,
e_0,24.66,36.11,,17.73,21.36,,11.09,,5.66,5.3,8.87,3.77,6.35,,,1.72
