,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.48,0.3,0.15,0.18,0.16,0.1,0.2,0.15,0.17,0.2,0.23,,0.23,0.12,0.15,0.14
e_1,0.15,1.49,0.15,0.18,0.15,0.15,0.18,0.17,0.33,0.21,0.19,0.16,0.23,0.18,,0.18
d_1,0.19,0.17,1.53,0.16,0.15,0.14,0.22,0.13,,0.33,0.19,0.18,0.23,0.16,0.19,0.18
c_1,0.15,0.15,0.18,1.54,0.27,0.12,0.2,0.24,0.2,,0.16,0.14,0.27,0.16,0.17,0.18
b_1,0.17,0.2,0.19,0.15,1.58,0.23,0.26,0.15,0.22,0.23,,0.17,0.2,0.17,0.18,0.18
a_1,0.23,0.17,0.19,0.19,0.14,1.76,0.22,,0.23,0.2,0.22,,0.2,,0.18,
h_1,0.51,0.44,0.35,0.35,0.3,0.32,1.63,0.52,0.47,0.55,0.41,0.5,,0.31,0.37,0.47
g_1,0.38,0.25,0.61,0.33,0.54,,0.44,1.74,0.36,0.54,0.46,0.72,0.47,,0.35,
d_0,0.58,0.4,,0.68,0.44,0.36,0.54,0.55,1.43,0.43,0.53,0.54,0.48,0.53,0.39,0.67
c_0,0.5,0.47,0.39,,0.29,0.39,0.55,0.54,0.6,1.4,0.98,0.4,0.77,0.5,0.46,0.53
b_0,0.38,0.49,0.56,0.47,,0.37,0.49,0.56,0.51,0.41,1.49,0.55,0.68,0.96,0.37,0.41
f_0,,0.42,0.45,0.68,0.49,,0.61,0.41,0.64,0.69,0.49,1.51,0.63,,0.63,0.62
h_0,0.78,0.57,0.61,0.53,0.62,0.64,,0.75,0.79,0.52,0.59,0.7,,0.44,0.52,0.97
a_0,0.64,0.55,0.48,0.49,0.58,,0.75,,0.61,0.53,0.45,,0.68,1.56,,0.6
e_0,0.48,,0.41,0.47,0.44,0.41,0.61,0.62,0.53,0.81,0.63,0.58,0.72,,1.67,0.56
g_0,0.76,0.65,0.82,0.56,0.45,,0.68,,0.7,0.77,0.87,0.89,0.67,0.53,0.59,
