,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,0.66,0.66,0.76,0.93,0.7,0.15,0.14,0.25,0.14,0.17,0.3,0.08,0.14,0.14,0.15
e_1,0.46,0.17,0.78,0.86,0.75,0.86,0.29,0.17,0.28,0.21,0.14,0.19,0.13,0.18,0.48,0.15
d_1,0.86,0.89,0.16,0.85,0.67,0.67,0.19,0.45,0.14,0.14,0.14,0.11,0.12,0.12,0.14,0.07
c_1,0.67,0.64,1.21,0.15,0.74,0.74,0.24,0.08,0.23,0.36,0.15,0.17,0.12,0.15,0.16,0.13
b_1,0.81,0.96,0.81,0.41,0.13,0.83,0.27,0.19,0.22,0.19,0.51,0.12,0.12,0.16,0.13,0.1
a_1,1.0,0.74,0.75,0.98,0.35,0.09,0.27,0.2,0.22,0.18,0.23,0.18,0.1,0.48,0.2,0.13
h_1,0.58,0.64,0.57,0.61,0.63,0.6,0.06,0.13,0.22,0.12,0.12,0.15,0.17,0.1,0.12,0.08
d_0,0.58,0.33,1.4,0.61,0.69,0.76,0.19,0.07,0.2,0.16,0.12,0.15,0.09,0.15,0.12,0.11
g_1,0.63,0.67,0.6,0.71,0.67,0.57,0.12,0.17,0.05,0.1,0.1,0.11,0.07,0.14,0.1,0.11
c_0,0.7,0.63,0.3,1.51,0.77,0.56,0.18,0.19,0.2,0.06,0.12,0.13,0.09,0.11,0.12,0.09
b_0,0.62,0.64,0.48,0.73,1.76,0.53,0.17,0.14,0.14,0.07,0.05,0.12,0.08,0.11,0.1,0.08
f_0,1.4,0.63,0.57,0.64,0.72,0.45,0.22,0.13,0.09,0.12,0.1,0.05,0.08,0.11,0.1,0.05
h_0,0.65,0.61,0.49,0.55,0.79,0.47,0.27,0.13,0.18,0.12,0.12,0.09,0.13,0.13,0.1,0.09
a_0,0.93,0.57,0.46,0.59,0.98,0.92,0.18,0.17,0.16,0.09,0.06,0.11,0.08,0.04,0.15,0.08
e_0,0.98,0.89,0.48,0.67,0.82,0.52,0.14,0.11,0.16,0.11,0.1,0.05,0.07,0.12,0.04,0.09
g_0,0.71,0.62,0.6,0.76,0.58,0.5,0.13,0.12,0.25,0.12,0.12,0.1,0.07,0.12,0.08,0.11
