,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.45,1.64,1.8,1.91,1.98,2.16,0.41,0.8,0.33,0.35,0.37,0.68,0.41,0.21,0.31,0.3
e_1,1.1,0.43,2.19,2.53,2.16,2.32,0.6,0.64,0.41,0.45,0.47,0.5,0.39,0.32,1.3,0.37
d_1,2.45,2.18,0.43,2.34,1.82,1.59,0.56,0.38,0.41,0.98,0.39,0.35,0.36,0.24,0.38,0.18
c_1,2.2,1.88,2.1,0.41,2.41,1.83,0.61,0.62,1.25,0.26,0.44,0.44,0.38,0.33,0.39,0.36
b_1,2.49,2.63,2.67,1.08,0.39,2.12,0.79,0.76,0.6,0.58,1.02,0.44,0.55,0.35,0.46,0.31
a_1,3.29,3.22,2.67,3.13,1.46,0.32,0.83,0.73,0.56,0.62,1.01,0.63,2.93,0.51,0.78,0.41
h_1,3.43,3.26,3.12,3.2,2.93,3.09,0.34,0.98,0.7,0.73,0.64,0.68,0.6,1.0,0.54,0.51
g_1,4.04,3.24,3.74,3.59,3.81,4.03,0.85,0.3,0.84,0.8,0.77,0.75,0.6,0.4,0.83,1.04
c_0,4.02,3.71,2.1,8.48,3.72,3.96,1.33,0.9,0.38,1.06,0.85,0.85,0.75,0.57,0.75,0.57
d_0,3.52,2.08,8.38,4.4,4.38,4.69,1.16,1.1,0.77,0.38,0.69,0.85,0.84,0.56,0.84,0.61
b_0,3.63,3.76,3.34,4.77,7.28,5.61,1.0,1.12,0.42,0.89,0.35,0.78,0.83,0.72,1.01,0.55
f_0,8.36,4.21,4.06,4.19,3.48,3.94,1.16,0.75,0.81,0.76,0.77,0.35,0.77,0.56,0.78,0.36
a_0,4.79,4.64,4.37,5.01,5.62,7.85,1.24,1.28,0.81,1.07,0.52,0.95,0.34,0.77,1.19,0.56
h_0,4.41,4.46,4.55,4.56,4.74,4.68,1.76,1.24,0.96,0.96,0.81,0.82,0.75,1.31,0.7,0.73
e_0,6.83,9.93,4.41,5.09,4.58,4.02,1.36,0.98,1.03,1.01,0.94,0.57,0.85,0.74,0.31,0.64
g_0,6.29,5.31,4.77,4.96,6.15,4.02,1.1,2.75,1.14,1.23,1.03,1.01,0.98,0.62,1.11,1.46
