,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,1.27,1.79,1.52,1.77,1.58,0.35,0.3,0.47,0.29,0.33,1.25,0.23,0.38,0.38,0.38
e_1,0.87,0.18,1.72,1.61,1.86,1.74,0.47,0.41,0.68,0.36,0.3,0.45,0.29,2.61,0.36,0.28
c_1,1.36,1.84,0.16,2.28,1.92,1.72,0.49,0.18,0.51,1.03,0.4,0.3,0.22,0.22,0.28,0.24
d_1,1.7,2.46,1.57,0.14,1.51,1.39,0.48,1.59,0.3,0.28,0.36,0.32,0.22,0.38,0.38,0.15
b_1,1.96,1.82,0.84,1.99,0.13,2.22,0.44,0.46,0.4,0.51,1.66,0.33,0.22,0.28,0.33,0.2
a_1,1.79,1.93,1.59,2.24,0.77,0.1,0.56,0.52,0.57,0.41,0.38,0.34,0.24,0.3,1.22,0.32
h_1,0.93,0.9,1.08,0.85,1.11,0.98,0.07,0.2,0.28,0.2,0.17,0.17,0.42,0.16,0.16,0.13
d_0,1.29,0.47,1.06,3.56,0.94,0.76,0.3,0.08,0.29,0.23,0.17,0.15,0.13,0.21,0.18,0.14
g_1,1.21,0.81,1.03,0.93,1.02,1.02,0.2,0.18,0.05,0.18,0.19,0.18,0.11,0.2,0.17,0.36
c_0,0.98,1.03,3.51,0.39,1.02,1.11,0.26,0.24,0.23,0.07,0.2,0.23,0.12,0.16,0.21,0.13
b_0,1.06,0.66,1.5,0.7,3.61,0.89,0.33,0.17,0.24,0.08,0.06,0.18,0.13,0.2,0.16,0.14
f_0,3.34,0.82,0.94,1.03,0.76,0.85,0.26,0.18,0.18,0.16,0.15,0.05,0.15,0.13,0.17,0.07
h_0,1.21,0.82,1.08,0.69,0.82,0.8,0.7,0.17,0.3,0.2,0.23,0.19,0.25,0.15,0.18,0.15
e_0,1.32,2.12,1.04,0.71,0.84,0.66,0.22,0.15,0.24,0.18,0.17,0.1,0.1,0.04,0.2,0.1
a_0,0.94,0.62,1.09,0.96,1.4,2.18,0.27,0.17,0.24,0.14,0.09,0.21,0.15,0.24,0.04,0.14
g_0,1.56,0.93,0.84,0.72,0.89,0.92,0.24,0.18,0.78,0.17,0.16,0.15,0.09,0.13,0.14,0.32
