,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.15,46.72,111.97,112.21,88.07,71.55,24.65,17.58,18.06,17.11,14.97,16.94,11.18,,15.61,19.5
f_1,87.48,1.15,81.93,65.46,80.06,79.81,15.52,39.29,15.12,18.57,,21.5,8.55,16.0,14.96,15.95
d_1,136.07,86.76,1.15,101.35,120.09,83.0,24.65,14.52,,16.67,23.71,22.36,13.21,16.7,7.18,13.5
c_1,104.97,93.44,104.97,1.15,139.05,109.21,29.93,31.81,10.48,,17.24,18.03,12.11,16.7,14.36,19.5
b_1,131.21,125.66,119.96,68.3,1.15,109.21,25.39,41.75,21.67,28.26,22.76,,16.77,32.0,13.81,
a_1,282.62,191.79,152.68,196.37,85.23,1.15,46.56,35.16,26.0,26.0,31.61,32.88,15.57,,25.64,
h_1,87.48,88.88,98.79,87.28,80.06,90.22,2.0,29.04,18.06,24.07,18.97,18.03,,17.45,13.3,25.07
g_1,118.52,140.15,134.36,184.82,176.13,129.69,19.95,2.0,28.26,22.41,31.61,19.28,14.06,21.33,,25.07
d_0,53.25,91.1,,80.56,91.1,109.21,31.04,27.83,3.19,20.97,15.38,17.47,13.63,18.29,12.82,19.5
c_0,114.81,86.76,49.4,,97.85,86.46,24.65,24.74,25.0,3.05,20.32,21.5,12.82,21.33,10.88,20.65
f_0,108.06,,129.19,112.21,101.62,122.06,31.04,23.86,18.57,18.57,2.93,26.62,17.44,14.77,11.58,21.94
b_0,102.06,117.55,95.97,120.85,,159.62,31.04,30.36,24.07,11.82,23.71,2.91,16.15,32.0,25.64,19.5
h_0,70.65,75.92,83.98,68.3,91.1,103.75,,30.36,19.12,20.31,27.1,23.29,,16.7,12.38,21.94
e_0,,227.75,167.95,174.56,146.78,,49.29,41.75,36.11,34.21,17.78,27.95,20.76,3.02,15.61,
g_0,118.52,165.64,95.97,120.85,114.87,129.69,34.92,,21.67,21.67,19.62,24.3,11.78,25.6,,19.5
a_0,193.37,280.31,305.36,196.37,,,41.9,44.53,30.95,34.21,31.61,19.28,27.25,,29.92,3.0
