,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,5.97,0.08,0.07,0.06,0.08,0.07,0.28,0.29,0.74,0.33,,0.45,0.62,0.29,0.36,0.53
f_1,0.08,6.03,0.15,0.05,0.08,0.09,0.32,0.24,0.36,0.45,0.39,,0.36,0.31,0.31,0.61
e_1,0.06,0.07,6.06,0.07,0.09,0.08,0.29,0.25,0.34,0.3,0.91,0.31,0.58,0.25,,0.43
c_1,0.07,0.07,0.1,6.71,0.1,0.04,0.32,0.28,,0.27,0.59,0.41,0.56,0.36,0.33,0.68
b_1,0.06,0.11,0.08,0.06,7.51,0.18,0.32,0.22,0.42,,0.3,0.3,0.64,0.45,,0.43
a_1,0.06,0.1,0.08,0.08,0.05,9.76,0.35,0.19,0.37,0.39,0.39,0.3,0.88,,0.37,0.36
h_1,0.34,0.38,0.23,0.35,0.29,0.26,14.35,1.55,1.39,1.33,0.9,1.31,,1.28,1.22,3.2
g_1,0.44,0.25,0.21,0.29,0.34,0.23,0.84,16.62,1.23,1.32,1.37,1.9,2.83,1.4,1.16,
c_0,0.3,0.34,0.36,,0.27,0.4,1.39,1.65,11.85,3.75,1.35,2.34,3.06,2.0,1.7,2.8
b_0,0.48,0.37,0.33,0.38,,0.23,1.46,1.43,2.23,12.9,2.27,2.18,2.57,3.05,1.43,2.24
d_0,,0.41,0.5,0.86,0.31,0.3,1.52,1.26,1.46,1.51,12.29,2.04,3.29,2.05,1.88,2.67
f_0,0.37,,0.35,0.4,0.51,0.34,1.53,1.77,1.5,1.82,1.51,14.63,2.87,1.29,5.02,2.82
h_0,0.68,0.56,0.55,0.59,0.54,0.51,,2.24,2.91,4.03,2.84,2.77,,2.27,3.49,4.89
a_0,0.32,0.41,0.25,0.33,0.31,,1.89,1.48,1.52,1.44,1.58,2.47,3.16,19.57,,4.63
e_0,0.38,0.35,,0.4,0.37,0.39,1.36,1.9,1.78,1.52,1.58,,3.21,3.36,20.99,2.98
g_0,0.87,0.53,0.39,0.43,0.66,0.5,2.1,,2.9,2.58,3.25,4.83,3.79,1.98,2.81,
