,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.94,0.76,0.98,0.64,0.66,0.64,1.09,2.44,0.95,0.82,0.95,1.0,0.93,0.94,0.74,0.96
f_1,1.86,9.48,0.73,0.62,0.64,0.57,0.88,0.99,0.82,0.76,0.87,0.55,0.95,0.88,0.64,1.0
c_1,0.51,0.61,11.92,0.59,2.21,0.9,0.8,0.87,1.03,0.52,0.56,0.91,0.88,0.75,1.0,0.84
d_1,0.59,0.83,0.46,15.02,0.57,0.59,0.95,0.53,0.97,2.87,1.4,1.07,1.08,1.22,1.19,0.96
b_1,0.62,0.66,0.79,0.73,12.13,1.79,0.78,0.72,0.85,0.74,0.53,1.04,1.0,0.59,0.92,1.0
a_1,0.62,0.78,0.76,0.87,0.56,17.73,1.11,0.89,0.97,1.08,1.16,0.92,0.92,0.86,0.95,0.98
h_1,0.82,1.42,0.64,0.84,0.59,0.57,3.53,0.79,1.14,1.07,1.26,0.98,0.76,1.23,1.01,1.41
d_0,0.55,0.74,2.32,0.54,1.17,0.7,1.01,1.83,0.9,0.66,0.87,1.04,1.11,0.83,1.16,1.08
g_1,0.63,0.76,0.71,1.85,0.63,0.57,1.02,0.99,3.54,1.25,1.45,1.97,1.15,1.18,1.37,0.79
c_0,0.88,0.88,0.47,0.97,0.46,0.69,1.27,0.91,1.07,2.59,3.99,1.31,1.51,1.83,1.4,1.27
b_0,0.79,0.86,0.77,0.96,0.47,0.63,1.56,1.03,1.07,1.07,2.52,1.48,1.07,3.26,1.12,1.32
f_0,0.5,0.55,0.98,1.0,0.7,1.05,0.97,0.99,1.3,1.22,1.45,2.84,1.28,1.58,3.06,1.14
h_0,0.87,1.27,0.77,0.85,0.7,0.68,0.69,0.76,1.41,0.77,1.11,1.02,0.87,1.04,1.07,1.35
a_0,0.93,0.77,1.01,0.92,0.61,0.54,1.1,1.19,1.06,0.96,1.3,1.22,1.42,3.04,1.42,1.07
e_0,0.5,0.81,0.87,0.94,0.88,0.72,1.08,0.78,1.05,1.13,1.37,1.33,1.61,1.26,3.2,1.52
g_0,0.66,0.58,0.6,1.95,0.86,0.79,1.1,0.69,0.96,1.12,1.07,2.4,1.24,1.2,1.4,0.84
