,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.94,1.24,1.0,0.95,0.92,0.83,1.01,0.88,0.96,0.87,0.86,0.83,0.87,0.85,0.93
d_1,1.06,1.0,1.07,0.98,0.91,0.9,1.01,0.83,1.29,1.02,1.2,0.91,0.98,1.06,0.99,0.74
e_1,0.81,0.92,1.0,1.18,1.04,0.99,1.09,1.12,1.04,1.39,1.05,1.15,1.13,1.02,1.21,1.41
c_1,0.99,1.01,0.85,1.0,1.39,0.98,0.88,0.93,0.87,0.72,0.89,0.97,1.01,0.96,0.91,1.13
b_1,1.03,1.1,0.96,0.72,1.0,1.47,1.18,0.95,1.11,1.1,0.79,1.08,0.97,1.03,1.0,1.07
a_1,1.09,1.1,1.01,1.02,0.7,1.0,1.12,1.24,0.94,0.95,1.17,1.15,1.19,1.16,1.07,1.02
h_1,1.22,1.01,0.91,1.14,0.88,0.88,1.0,1.16,0.84,0.88,0.83,0.89,1.03,0.84,0.91,1.08
g_1,0.98,1.2,0.91,1.09,1.01,0.82,0.87,1.0,0.94,0.9,0.86,1.18,0.85,1.16,0.99,0.99
c_0,1.1,0.76,0.98,1.23,0.88,1.07,1.18,1.07,1.0,1.22,1.45,0.99,1.13,1.11,1.08,1.01
d_0,1.02,1.02,0.7,1.4,0.97,0.99,1.08,1.14,0.81,1.0,0.91,1.12,1.03,0.93,1.04,1.08
b_0,1.05,0.86,0.95,1.19,1.22,0.83,1.16,1.14,0.7,1.07,1.0,0.9,1.0,1.42,1.01,1.03
f_0,1.1,1.09,0.9,1.01,0.95,0.91,1.07,0.83,1.0,0.9,1.09,1.0,1.19,1.06,1.4,0.81
h_0,1.19,1.04,0.94,1.0,0.98,0.82,0.93,1.17,0.87,0.95,1.03,0.88,1.0,0.84,1.05,1.17
a_0,1.09,0.97,0.97,0.97,1.04,0.98,1.2,0.92,0.95,1.06,0.74,1.03,1.2,1.0,1.16,1.05
e_0,1.23,0.99,0.85,1.09,1.04,0.91,1.05,0.99,0.98,0.91,1.03,0.73,1.01,0.85,1.0,0.9
g_0,1.01,1.34,0.74,0.87,0.96,1.02,0.91,0.98,0.96,0.88,0.98,1.2,0.88,1.03,1.04,1.0
