,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.64,0.75,0.79,0.92,0.68,0.17,0.18,0.23,0.14,0.16,0.28,0.07,0.17,0.12,0.12
d_1,0.85,0.16,0.84,0.8,0.64,0.71,0.26,0.34,0.15,0.19,0.15,0.16,0.11,0.15,0.15,0.08
e_1,0.41,0.95,0.16,0.89,0.83,0.79,0.22,0.18,0.29,0.14,0.16,0.21,0.14,0.16,0.39,0.14
c_1,0.77,1.0,0.64,0.15,0.88,0.81,0.19,0.08,0.22,0.34,0.14,0.14,0.12,0.15,0.14,0.11
b_1,0.82,0.78,0.86,0.45,0.13,0.7,0.29,0.2,0.23,0.22,0.45,0.14,0.13,0.19,0.23,0.12
a_1,1.4,0.8,0.71,0.76,0.4,0.1,0.26,0.17,0.31,0.17,0.19,0.16,0.13,0.39,0.17,0.11
h_1,0.58,0.57,0.63,0.74,0.62,0.57,0.06,0.13,0.16,0.12,0.11,0.13,0.13,0.1,0.11,0.1
d_0,0.63,1.27,0.33,0.58,0.75,0.7,0.21,0.07,0.17,0.12,0.12,0.12,0.09,0.11,0.14,0.09
g_1,0.66,0.56,0.69,0.62,0.68,0.58,0.13,0.16,0.05,0.14,0.12,0.13,0.07,0.14,0.11,0.21
c_0,0.73,0.31,0.66,1.42,0.69,0.59,0.19,0.19,0.19,0.06,0.14,0.11,0.11,0.11,0.11,0.09
b_0,0.6,0.62,0.54,0.72,1.42,0.7,0.16,0.1,0.15,0.06,0.06,0.12,0.09,0.11,0.11,0.08
f_0,1.42,0.52,0.58,0.65,0.63,0.62,0.17,0.11,0.11,0.11,0.12,0.05,0.09,0.12,0.12,0.05
h_0,0.65,0.54,0.56,0.63,0.55,0.54,0.25,0.15,0.16,0.12,0.11,0.13,0.16,0.09,0.09,0.1
a_0,0.73,0.46,0.58,0.63,0.86,1.16,0.2,0.13,0.16,0.14,0.06,0.12,0.1,0.04,0.09,0.07
e_0,1.18,0.51,0.87,0.67,0.72,0.43,0.17,0.13,0.14,0.12,0.1,0.06,0.08,0.13,0.04,0.07
g_0,0.66,0.64,0.58,0.61,0.55,0.65,0.13,0.14,0.26,0.12,0.11,0.11,0.06,0.09,0.11,0.15
