,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.18,1.63,2.02,1.82,1.54,2.22,0.4,0.31,0.28,1.23,0.29,0.34,0.37,0.22,0.29,0.14
f_1,1.55,0.17,1.75,1.49,1.51,2.02,0.3,0.58,0.4,0.33,0.32,2.03,0.3,0.16,0.42,0.29
e_1,1.72,0.94,0.16,1.78,2.03,1.88,0.51,0.61,0.3,0.34,0.39,0.42,0.43,0.25,1.12,0.31
c_1,2.46,1.97,1.3,0.15,1.7,1.31,0.58,0.49,1.23,0.16,0.27,0.37,0.26,0.23,0.31,0.23
b_1,2.0,1.66,1.85,0.91,0.13,1.18,0.65,0.58,0.54,0.34,1.6,0.36,0.32,0.29,0.24,0.34
a_1,1.58,2.64,1.77,1.49,0.82,0.09,0.68,0.48,0.39,0.33,0.47,0.32,,0.27,0.31,0.32
h_1,0.82,0.96,1.03,0.92,0.98,0.83,0.07,0.25,0.22,0.2,0.18,0.14,0.2,0.39,0.21,0.13
g_1,0.97,1.04,1.03,0.89,0.89,1.2,0.21,0.05,0.18,0.2,0.2,0.16,0.19,0.11,0.22,0.35
c_0,0.49,0.91,0.88,4.17,1.09,1.02,0.27,0.33,0.07,0.33,0.21,0.15,0.2,0.15,0.21,0.15
d_0,2.63,0.87,0.44,1.04,0.86,1.08,0.31,0.31,0.21,0.08,0.21,0.18,0.27,0.15,0.19,0.14
b_0,0.73,0.91,0.79,1.46,5.97,0.89,0.22,0.21,0.09,0.2,0.07,0.14,0.17,0.13,0.18,0.11
f_0,0.77,2.4,0.84,0.86,1.03,0.75,0.28,0.16,0.19,0.18,0.18,0.06,0.18,0.16,0.18,0.08
a_0,0.71,0.82,0.77,1.09,1.21,,0.33,0.26,0.15,0.18,0.12,0.19,0.05,0.12,0.2,0.12
h_0,0.75,0.99,0.9,0.9,1.21,0.88,0.59,0.23,0.22,0.19,0.21,0.21,0.18,0.35,0.15,0.12
e_0,0.93,1.34,2.29,1.08,1.0,0.6,0.23,0.17,0.17,0.19,0.2,0.07,0.16,0.19,0.04,0.11
g_0,0.7,1.12,0.89,1.1,1.09,0.75,0.21,0.67,0.17,0.26,0.25,0.14,0.24,0.12,0.22,0.32
