,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.62,0.74,0.34,0.33,0.42,0.38,0.73,0.66,0.61,0.83,0.81,0.1,0.83,0.75,0.63,0.94
e_1,0.44,3.85,0.39,0.34,0.32,0.37,0.8,1.67,0.8,1.02,0.72,0.91,0.77,0.74,0.34,0.89
c_1,0.4,0.42,4.21,0.41,0.71,0.39,0.65,0.72,0.58,0.15,0.82,0.9,0.81,0.73,0.74,0.85
d_1,0.42,0.35,0.35,4.45,0.36,0.38,0.72,0.28,0.82,1.4,0.91,0.65,1.02,0.92,0.6,1.08
b_1,0.47,0.36,0.37,0.41,4.92,0.75,0.83,0.64,0.67,0.54,0.11,0.95,0.92,0.58,0.6,1.1
a_1,0.42,0.32,0.41,0.4,0.43,6.93,0.81,0.81,0.81,0.83,0.72,1.05,0.8,0.18,0.98,0.59
h_1,0.99,0.6,0.7,0.72,0.52,0.52,4.97,1.25,1.69,1.44,1.64,1.3,0.57,1.38,1.6,1.35
d_0,0.64,0.54,1.45,0.3,0.62,0.61,1.29,3.68,1.41,1.55,1.68,1.48,1.84,1.38,1.84,1.21
g_1,0.53,0.55,0.75,1.09,0.73,0.57,1.12,1.1,6.55,1.06,1.63,2.63,1.5,1.78,1.71,0.63
c_0,0.73,0.65,0.44,0.89,0.6,0.56,1.45,1.62,1.48,4.15,3.23,1.24,1.72,1.71,1.8,1.42
b_0,0.78,0.73,0.85,0.71,0.25,0.56,1.5,1.51,1.02,1.33,4.42,1.53,2.0,3.0,1.99,1.59
f_0,0.2,0.7,0.84,0.72,0.78,0.51,1.46,1.52,1.4,1.24,1.63,5.14,1.99,2.16,4.25,1.3
h_0,0.96,0.67,0.66,0.71,0.6,0.72,0.56,1.17,1.66,1.11,1.81,1.56,0.52,1.45,1.81,1.92
a_0,0.72,0.72,0.9,0.82,0.65,,1.42,1.57,1.3,1.69,1.13,1.71,1.89,6.18,1.64,1.73
e_0,0.56,,0.92,1.17,0.78,0.65,1.4,1.47,1.76,1.89,1.34,1.66,2.02,1.68,6.62,0.96
g_0,0.63,0.63,0.8,1.11,0.61,0.7,1.2,1.15,0.71,1.21,1.32,2.29,1.42,1.16,1.91,0.5
