,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,48.68,71.17,66.11,106.0,72.61,23.56,15.64,17.03,25.54,14.35,18.52,12.75,21.71,,15.77
f_1,116.15,1.16,76.14,116.96,69.74,70.1,13.46,14.37,14.19,28.87,20.57,,9.71,16.77,18.68,18.26
d_1,123.65,116.19,1.15,77.97,115.22,101.65,26.5,,16.61,12.77,18.7,24.96,12.36,28.38,16.9,7.89
c_1,98.28,109.15,148.82,1.15,98.15,107.0,29.24,9.92,,31.62,24.68,15.51,17.0,16.04,29.58,15.09
b_1,109.51,189.58,96.29,59.63,1.16,169.42,29.24,20.71,28.38,44.27,,30.21,17.0,,16.9,11.57
a_1,201.74,200.11,148.82,168.94,77.94,1.15,53.0,33.52,25.22,51.08,25.71,,21.47,,32.27,
h_1,106.47,76.64,83.95,126.71,88.33,63.53,2.0,26.07,19.46,28.87,16.24,22.96,,13.18,27.31,12.85
d_0,52.51,85.76,,89.44,63.1,78.19,30.29,2.98,27.24,22.9,15.05,21.26,9.71,18.45,22.19,15.09
c_0,89.14,76.64,57.44,,101.92,169.42,30.29,20.11,2.91,28.87,18.7,15.51,11.66,18.45,14.79,12.85
g_1,153.32,189.58,116.93,138.23,101.92,184.82,24.23,28.16,23.48,2.0,28.05,24.96,13.6,20.5,18.68,
b_0,109.51,90.05,112.9,116.96,,101.65,24.94,23.47,12.38,31.62,2.95,16.4,15.69,,17.75,11.97
f_0,106.47,,105.61,95.03,139.47,,33.92,18.05,26.19,22.13,21.28,2.97,14.57,18.45,27.31,7.89
h_0,79.85,105.94,109.13,86.89,147.22,107.0,,19.56,17.46,26.56,20.57,23.92,,16.04,14.2,15.77
a_0,159.71,150.08,181.89,168.94,,,53.0,33.52,52.38,47.43,,41.0,21.47,3.05,,23.13
e_0,,200.11,251.85,233.92,155.88,101.65,53.0,54.15,40.06,39.06,41.13,15.51,21.47,,3.01,26.69
g_0,112.74,94.79,136.42,144.81,147.22,,22.92,33.52,24.32,,36.29,20.5,11.66,19.42,29.58,
