,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.52,0.78,0.79,0.62,0.7,0.56,0.83,0.71,1.38,0.7,1.04,0.86,1.03,0.91,0.73,0.65
e_1,0.67,1.52,0.67,0.89,0.7,0.63,0.98,0.85,0.94,1.43,0.97,0.89,0.91,0.89,0.73,0.55
f_1,0.76,1.19,1.53,0.74,0.58,0.57,0.82,0.69,0.71,0.82,0.82,0.59,0.77,0.74,0.64,0.6
c_1,0.77,0.65,0.78,1.57,1.16,0.55,0.9,0.83,0.53,0.72,0.51,0.66,0.97,0.92,0.69,0.83
b_1,0.8,0.78,0.88,0.64,1.61,1.08,0.74,0.76,0.82,0.87,0.62,0.83,0.98,0.92,0.51,0.7
a_1,0.93,0.86,0.85,0.85,0.62,1.76,0.92,0.83,1.01,0.94,1.02,1.03,1.15,0.81,0.79,0.76
h_1,1.08,0.77,1.22,0.87,1.0,0.76,1.77,1.45,1.21,1.07,1.03,1.06,0.96,1.43,1.02,1.05
g_1,1.6,0.85,1.04,0.89,0.92,0.79,0.94,1.84,1.03,0.84,1.04,1.34,1.04,0.92,1.05,1.04
c_0,1.0,1.04,1.23,0.91,0.76,0.73,1.19,1.22,1.65,1.3,1.98,1.17,1.46,1.22,1.24,1.0
d_0,0.77,0.83,1.15,1.72,0.93,0.74,1.28,1.16,0.91,1.64,1.01,1.12,1.29,1.29,1.05,1.05
b_0,1.07,1.04,1.17,1.3,0.71,0.59,1.26,1.13,1.02,1.42,1.7,1.03,1.43,1.19,2.06,0.97
f_0,1.24,1.02,0.88,1.27,0.95,0.75,1.26,1.08,1.25,1.31,1.28,1.72,1.54,1.08,1.0,1.72
h_0,1.12,1.11,1.54,1.1,0.89,0.66,0.99,1.45,1.13,1.23,1.2,0.97,1.06,1.65,0.88,1.1
g_0,1.43,1.08,1.14,1.03,0.9,0.96,1.08,0.96,1.34,1.22,1.14,1.82,1.18,1.04,1.08,1.14
a_0,1.18,1.02,1.24,1.29,1.25,0.43,1.16,1.24,1.09,1.17,0.97,1.25,1.74,1.36,1.81,1.09
e_0,1.37,0.76,1.35,1.02,1.06,0.86,1.32,1.15,1.28,1.24,1.36,1.06,1.53,1.25,1.13,1.81
