,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.39,1.1,1.2,1.45,2.27,17.01,22.99,23.72,27.56,31.75,,61.93,62.63,85.72,124.09
e_1,0.72,1.0,1.34,1.1,1.37,2.77,15.57,21.19,30.03,28.06,29.18,50.52,66.95,76.58,,125.61
d_1,0.91,0.74,1.0,0.87,1.13,2.34,15.76,24.44,,17.4,23.09,33.44,53.3,58.94,69.42,69.22
c_1,0.84,0.91,1.15,1.0,1.87,1.96,11.35,,14.88,19.77,18.81,30.55,62.86,59.27,66.74,68.09
b_1,0.69,0.73,0.89,0.53,1.0,2.55,12.22,15.19,19.96,20.66,,23.89,36.64,62.91,42.7,80.3
a_1,0.44,0.36,0.43,0.51,0.39,1.0,8.2,9.31,9.63,8.0,10.37,12.12,,27.3,34.55,43.85
h_1,0.06,0.06,0.06,0.09,0.08,0.12,1.0,1.6,1.49,1.71,1.55,2.48,3.47,,4.13,6.29
c_0,0.04,0.05,0.04,,0.07,0.11,0.63,1.0,0.88,1.2,1.62,1.52,2.61,3.35,3.77,4.52
d_0,0.04,0.03,,0.07,0.05,0.1,0.67,1.13,1.0,0.98,1.21,1.83,2.37,2.28,4.73,3.93
g_1,0.04,0.04,0.06,0.05,0.05,0.12,0.59,0.84,1.02,1.0,1.01,1.83,2.6,3.67,,
b_0,0.03,0.03,0.04,0.05,,0.1,0.65,0.62,0.82,0.99,1.0,1.33,3.69,2.31,2.7,3.86
f_0,,0.02,0.03,0.03,0.04,0.08,0.4,0.66,0.55,0.55,0.75,1.0,2.32,1.98,3.05,2.42
a_0,0.02,0.01,0.02,0.02,0.03,,0.29,0.38,0.42,0.39,0.27,0.43,1.0,1.41,1.53,
h_0,0.02,0.01,0.02,0.02,0.02,0.04,,0.3,0.44,0.27,0.43,0.5,0.71,,0.84,1.59
e_0,0.01,,0.01,0.01,0.02,0.03,0.24,0.27,0.21,,0.37,0.33,0.66,1.18,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.16,0.22,0.25,,0.26,0.41,,0.63,,
