,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.28,0.3,0.28,0.23,0.24,0.18,0.16,0.28,0.16,0.16,0.13,0.14,0.13,0.06,0.16
f_1,0.46,0.93,0.32,0.25,0.24,0.17,0.15,0.16,0.2,0.19,0.19,0.05,0.1,0.15,0.1,0.11
c_1,0.27,0.27,0.94,0.29,0.39,0.2,0.22,0.17,0.16,0.15,0.07,0.2,0.14,0.16,0.12,0.15
d_1,0.27,0.28,0.25,0.94,0.28,0.21,0.22,0.17,0.12,0.22,0.3,0.17,0.1,0.13,0.15,0.1
b_1,0.32,0.32,0.26,0.26,0.93,0.37,0.21,0.15,0.17,0.09,0.22,0.14,0.13,0.19,0.12,0.19
a_1,0.33,0.37,0.32,0.31,0.22,0.93,0.3,0.2,0.22,0.21,0.18,0.18,0.11,0.2,0.12,0.15
h_1,0.55,0.75,0.41,0.55,0.48,0.28,0.72,0.4,0.32,0.33,0.28,0.27,0.26,0.19,0.31,0.33
g_1,0.56,0.53,0.54,0.77,0.51,0.34,0.33,0.73,0.29,0.35,0.32,0.46,0.18,0.29,0.25,0.18
d_0,0.52,0.58,0.94,0.26,0.59,0.38,0.34,0.33,0.62,0.44,0.29,0.32,0.27,0.37,0.29,0.28
b_0,0.68,0.56,0.62,0.61,0.29,0.32,0.41,0.35,0.3,0.62,0.36,0.39,0.55,0.37,0.27,0.31
c_0,0.71,0.6,0.41,0.51,0.41,0.48,0.48,0.34,0.42,0.65,0.6,0.35,0.35,0.41,0.31,0.28
f_0,0.6,0.41,0.63,0.59,0.68,0.37,0.43,0.34,0.42,0.38,0.34,0.63,0.33,0.38,0.46,0.28
a_0,0.65,0.68,0.68,0.76,0.66,0.21,0.38,0.36,0.47,0.34,0.36,0.34,0.6,0.45,0.26,0.36
h_0,0.72,0.86,0.66,0.69,0.53,0.38,0.26,0.45,0.34,0.37,0.31,0.31,0.31,0.18,0.22,0.32
e_0,0.51,0.81,0.68,0.66,0.57,0.43,0.43,0.37,0.42,0.49,0.39,0.41,0.41,0.5,0.59,0.36
g_0,0.75,0.6,0.59,1.05,0.44,0.46,0.37,0.25,0.34,0.49,0.39,0.53,0.34,0.36,0.3,0.24
