,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,0.87,1.14,0.93,0.86,0.7,0.85,0.71,0.58,0.63,0.66,0.65,0.64,0.71,0.66
f_1,1.17,1.0,0.89,1.06,0.93,0.86,0.52,0.65,0.71,0.59,0.57,0.54,0.5,0.49,0.44,0.6
d_1,1.14,1.14,1.0,0.82,0.98,0.81,0.72,0.74,0.59,0.89,0.7,0.6,0.69,0.55,0.63,0.46
c_1,0.88,0.95,1.23,1.0,1.21,0.8,0.78,0.48,0.68,0.61,0.55,0.66,0.66,0.58,0.58,0.51
b_1,1.08,1.07,1.03,0.82,1.0,1.23,0.82,0.73,0.61,0.7,0.7,0.64,0.56,0.62,0.62,0.68
a_1,1.15,1.17,1.25,1.24,0.82,1.0,0.92,0.89,0.86,0.78,0.9,0.8,0.78,0.67,0.62,0.71
h_1,1.4,1.93,1.36,1.29,1.18,1.07,1.0,0.88,1.04,0.78,0.92,0.77,0.86,0.79,0.63,0.86
d_0,1.16,1.52,1.42,2.12,1.32,1.22,1.15,1.0,1.0,0.83,0.92,0.97,0.89,0.75,0.81,1.0
g_1,1.37,1.4,1.73,1.43,1.63,1.14,0.97,0.99,1.0,0.91,0.92,1.23,0.8,0.83,0.79,1.02
c_0,1.68,1.65,1.18,1.69,1.27,1.29,1.26,1.19,1.08,1.0,1.44,1.08,0.86,0.98,0.92,0.87
b_0,1.51,1.81,1.46,1.8,1.34,1.14,1.09,1.06,1.09,0.71,1.0,0.89,0.93,1.35,0.89,0.85
f_0,1.53,1.74,1.67,1.48,1.62,1.22,1.34,1.0,0.88,0.93,1.07,1.0,0.87,1.02,1.41,0.74
h_0,1.53,1.92,1.51,1.48,1.67,1.34,1.17,1.1,1.24,1.11,1.03,1.16,1.0,0.88,0.85,1.07
a_0,1.65,1.97,1.85,1.8,1.56,1.68,1.28,1.27,1.28,1.07,0.78,0.99,1.13,1.0,1.04,1.07
e_0,1.56,2.23,1.6,1.78,1.59,1.6,1.58,1.24,1.17,1.09,1.21,0.77,1.16,0.97,1.0,1.02
g_0,1.53,1.61,2.15,1.95,1.54,1.45,1.13,0.98,0.99,1.07,1.21,1.35,0.9,0.94,0.98,1.0
