,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.22,0.23,0.2,0.28,0.18,0.17,0.45,0.36,0.85,0.54,0.5,0.34,0.46,0.6,0.1,0.34
f_1,0.43,2.27,0.19,0.22,0.19,0.16,0.36,0.28,0.46,0.39,0.45,0.08,0.37,0.54,0.25,0.48
d_1,0.2,0.25,2.37,0.17,0.18,0.14,0.46,0.38,0.16,0.91,0.52,0.44,0.37,0.57,0.45,0.66
c_1,0.22,0.19,0.24,2.41,0.42,0.13,0.42,0.4,0.48,0.1,0.29,0.34,0.41,0.44,0.38,0.46
b_1,0.25,0.26,0.22,0.19,2.56,0.31,0.38,0.47,0.44,0.25,0.09,0.39,0.3,0.66,0.31,0.53
a_1,0.21,0.22,0.2,0.2,0.23,3.11,0.4,0.42,0.42,0.52,0.5,0.47,0.15,0.74,0.39,0.45
h_1,0.33,0.64,0.42,0.33,0.3,0.23,2.84,0.86,0.76,0.73,0.72,0.75,0.62,0.3,0.77,1.06
g_1,0.4,0.26,0.64,0.43,0.29,0.21,0.8,3.03,0.76,0.66,0.72,1.27,0.7,1.01,0.62,0.32
d_0,0.44,0.41,0.18,0.73,0.35,0.29,0.66,0.61,2.19,0.75,0.81,0.84,0.76,1.08,0.69,0.83
c_0,0.4,0.46,0.45,0.17,0.3,0.31,0.67,0.66,0.89,2.32,1.75,1.09,0.83,1.27,0.79,0.91
b_0,0.46,0.45,0.39,0.39,0.15,0.23,0.74,0.69,0.99,0.91,2.52,1.02,1.74,1.2,0.76,0.76
f_0,0.34,0.11,0.47,0.44,0.29,0.47,0.61,0.55,1.22,1.08,0.77,2.67,0.86,1.22,1.62,0.9
a_0,0.41,0.49,0.39,0.33,0.43,,0.71,0.58,0.76,1.07,0.95,1.04,2.48,1.2,0.85,1.0
h_0,0.38,0.6,0.42,0.43,0.26,0.29,0.21,0.56,0.65,0.74,0.77,0.67,0.7,0.28,0.77,1.11
e_0,0.2,0.45,0.41,0.49,0.33,0.41,0.88,0.71,0.89,0.85,0.85,0.94,0.64,1.02,2.84,0.81
g_0,0.31,0.48,0.73,0.39,0.25,0.16,0.63,0.26,0.74,0.89,0.82,1.25,0.67,1.14,0.74,0.36
