,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,99.1,19.53,14.35,17.94,26.88,97.74,1857.92,3105.26,4485.47,5789.58,,9449.82,22750.02,19258.64,18273.61,56506.84
e_1,9.23,102.67,13.16,19.8,30.82,68.2,1868.09,2849.63,7598.0,5721.6,7780.16,7619.01,26115.19,19123.2,,52053.81
d_1,9.87,10.46,109.26,21.17,27.74,74.25,2123.14,2872.23,,8661.99,8786.44,7142.6,24675.94,20917.36,23586.04,52815.34
c_1,10.6,10.75,10.25,155.21,41.74,71.48,1665.98,2432.5,3044.16,,8163.71,6460.73,20583.76,19039.22,16241.93,48536.09
b_1,9.87,9.36,9.72,11.1,224.15,106.41,1525.39,1957.34,4270.85,3378.27,4551.2,,21584.1,12794.27,14783.65,
a_1,6.19,5.87,5.49,9.28,13.27,556.04,1325.09,1285.49,1324.0,2609.42,3854.15,4364.52,17351.08,,,35681.1
h_1,7.04,4.8,5.1,8.84,12.6,34.28,3179.2,1627.95,1960.33,2247.39,3509.51,3310.41,,8137.9,10630.91,27666.95
g_1,3.92,4.62,6.0,7.36,12.59,48.61,714.83,4322.88,1210.27,2049.57,3362.85,3245.72,7835.27,11269.2,10254.16,
d_0,3.95,3.91,,13.54,12.44,53.95,798.29,1354.61,4460.41,2285.98,3789.87,3132.07,8668.64,9357.54,7103.91,28479.41
c_0,4.6,5.15,3.8,,11.12,31.94,769.72,801.07,1474.81,5426.1,2551.19,6190.05,7396.45,11431.24,9689.84,20456.69
f_0,,3.08,4.12,6.17,11.95,26.04,737.7,886.09,1199.2,2311.35,6892.84,2552.91,10801.77,6696.4,14111.27,26646.37
b_0,3.48,3.56,5.27,6.37,,24.39,660.61,975.85,1659.47,1236.31,2143.97,7836.14,8894.0,,5621.93,22012.05
h_0,4.49,3.22,4.02,5.25,7.98,22.61,,1145.42,1623.5,1751.69,1929.78,2317.4,,4179.98,5131.4,30418.65
a_0,3.09,3.25,3.15,5.05,7.29,,400.78,567.15,1098.41,1039.92,1568.93,,7744.56,17150.82,5870.43,
e_0,3.33,,3.23,5.37,7.31,,600.89,536.6,1214.44,1198.82,1404.87,2031.44,7712.18,4718.04,17622.24,
g_0,2.18,2.87,4.43,4.03,,19.98,484.82,,686.23,1497.5,1611.11,1925.28,4085.96,,,
