,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.95,0.39,0.41,0.61,0.4,0.29,0.35,0.51,0.26,0.25,0.3,0.3,0.26,0.18,0.19,0.23
f_1,0.82,0.95,0.39,0.35,0.34,0.25,0.27,0.3,0.26,0.32,0.19,0.23,0.25,0.14,0.23,0.21
d_1,0.45,0.54,0.95,0.38,0.41,0.29,0.31,0.22,0.27,0.47,0.27,0.29,0.25,0.21,0.18,0.21
c_1,0.37,0.47,0.45,0.95,0.71,0.3,0.33,0.26,0.24,0.16,0.28,0.19,0.27,0.19,0.16,0.24
b_1,0.46,0.48,0.49,0.4,0.94,0.6,0.32,0.32,0.26,0.31,0.28,0.2,0.29,0.22,0.17,0.25
a_1,0.53,0.69,0.56,0.54,0.34,0.93,0.34,0.38,0.33,0.26,0.29,0.32,0.36,0.27,0.21,0.26
h_1,0.66,0.95,0.76,0.69,0.59,0.44,0.76,0.42,0.59,0.44,0.41,0.38,0.31,0.3,0.32,0.48
d_0,0.61,0.7,0.59,1.2,0.69,0.47,0.55,0.67,0.49,0.34,0.46,0.45,0.41,0.34,0.38,0.41
g_1,0.72,0.71,1.0,0.78,0.65,0.52,0.44,0.4,0.76,0.46,0.63,0.35,0.37,0.3,0.3,0.31
c_0,0.91,0.79,0.75,0.65,0.47,0.58,0.55,0.62,0.44,0.68,0.46,0.7,0.44,0.32,0.42,0.44
f_0,0.65,0.67,0.85,0.9,0.75,0.55,0.55,0.53,0.46,0.49,0.67,0.44,0.44,0.61,0.37,0.37
b_0,0.8,1.01,0.72,1.0,0.45,0.36,0.6,0.55,0.58,0.42,0.44,0.67,0.46,0.4,0.67,0.44
h_0,0.84,1.06,0.87,0.83,0.66,0.56,0.54,0.61,0.66,0.52,0.49,0.47,0.42,0.34,0.35,0.52
e_0,0.73,1.11,0.81,0.94,0.66,0.55,0.7,0.61,0.63,0.59,0.42,0.5,0.67,0.65,0.52,0.5
a_0,1.01,0.86,0.94,1.0,0.76,0.39,0.68,0.58,0.64,0.6,0.48,0.44,0.49,0.31,0.61,0.43
g_0,0.8,0.87,1.27,0.8,0.78,0.56,0.54,0.52,0.45,0.62,0.76,0.45,0.47,0.38,0.46,0.39
