,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.95,0.82,0.53,0.55,0.45,0.31,0.32,0.31,0.34,0.28,0.3,0.2,0.23,0.26,0.25,0.16
e_1,0.54,0.95,0.51,0.61,0.44,0.38,0.45,0.32,0.54,0.36,0.36,0.33,0.29,0.31,0.27,0.2
d_1,0.62,0.58,0.95,0.48,0.44,0.4,0.37,0.29,0.26,0.56,0.4,0.33,0.27,0.32,0.25,0.24
c_1,0.59,0.55,0.58,0.95,0.77,0.38,0.33,0.28,0.29,0.25,0.23,0.26,0.25,0.31,0.25,0.19
b_1,0.6,0.6,0.63,0.5,0.94,0.68,0.39,0.36,0.36,0.33,0.22,0.3,0.22,0.33,0.27,0.23
a_1,0.72,0.63,0.68,0.62,0.5,0.94,0.47,0.41,0.4,0.39,0.35,0.34,0.26,0.47,0.31,0.26
h_1,1.11,0.76,0.83,0.86,0.64,0.49,0.78,0.59,0.55,0.52,0.47,0.41,0.35,0.4,0.49,0.35
g_1,0.84,0.83,1.26,0.86,0.64,0.6,0.48,0.78,0.44,0.52,0.47,0.58,0.34,0.41,0.42,0.33
d_0,0.93,0.74,0.74,1.35,0.81,0.57,0.58,0.53,0.71,0.39,0.48,0.44,0.41,0.51,0.4,0.34
c_0,1.1,0.93,0.77,0.81,0.64,0.57,0.61,0.6,0.67,0.72,0.92,0.53,0.5,0.53,0.42,0.42
b_0,1.13,0.91,0.89,1.05,0.76,0.52,0.63,0.62,0.59,0.46,0.7,0.41,0.73,0.61,0.47,0.36
f_0,0.98,0.86,0.97,1.03,0.86,0.7,0.72,0.48,0.66,0.56,0.6,0.69,0.43,0.56,0.45,0.74
a_0,1.27,0.95,0.99,0.99,0.83,0.54,0.74,0.68,0.64,0.57,0.55,0.54,0.68,0.54,0.5,0.37
h_0,1.42,1.06,1.07,0.97,0.81,0.5,0.53,0.74,0.56,0.55,0.51,0.51,0.45,0.47,0.56,0.36
g_0,1.1,1.02,1.33,1.03,0.85,0.78,0.69,0.49,0.62,0.6,0.54,0.74,0.51,0.58,0.42,0.45
e_0,1.25,0.94,1.1,1.26,0.86,0.68,0.65,0.71,0.61,0.6,0.63,0.39,0.53,0.64,0.51,0.65
