,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.1,1.69,3.21,3.26,3.19,2.47,0.94,0.88,0.73,0.64,0.74,0.64,0.6,0.43,0.78,0.46
f_1,2.9,1.1,3.14,3.4,2.78,2.94,0.61,0.91,0.58,0.58,0.89,0.59,0.55,0.31,0.52,0.53
d_1,3.43,3.54,1.09,3.01,3.24,2.92,0.87,0.62,0.53,0.97,0.54,0.63,0.6,0.41,0.72,0.27
c_1,2.99,3.49,4.7,1.11,3.33,3.53,1.01,0.93,0.94,0.43,0.71,0.7,0.73,0.6,0.74,0.53
b_1,3.9,4.55,4.2,2.08,1.12,4.34,1.23,1.11,1.15,0.83,0.97,1.47,1.02,0.64,0.71,0.67
a_1,5.33,6.13,5.25,5.76,2.95,1.13,1.68,2.03,1.24,1.76,1.27,1.57,2.13,0.84,1.4,0.96
h_1,11.18,11.49,9.81,10.41,10.8,9.92,1.63,3.84,2.19,2.55,2.37,2.11,2.06,2.32,2.14,1.62
g_1,12.03,15.48,12.4,13.33,12.03,11.03,2.91,1.65,2.74,2.63,2.74,2.71,2.63,1.49,2.79,2.38
c_0,14.93,16.98,8.62,28.03,16.21,13.36,4.25,4.04,1.95,4.49,2.89,3.15,3.47,2.4,3.24,2.1
d_0,9.71,14.71,22.4,17.44,17.44,13.83,4.52,4.95,3.61,2.11,2.94,3.13,3.58,2.72,3.41,2.47
f_0,17.17,31.38,15.16,18.18,17.44,14.88,5.42,3.31,3.54,3.68,2.0,3.27,3.52,2.62,3.03,1.58
b_0,17.25,18.6,12.67,25.85,29.31,17.85,4.21,5.08,1.9,3.64,3.48,1.99,3.47,2.94,3.01,2.24
a_0,21.97,21.7,20.79,23.07,33.19,26.54,6.89,7.23,3.87,4.42,4.64,2.35,2.09,3.61,3.32,2.8
h_0,22.9,25.29,24.8,23.8,21.19,17.69,8.27,5.88,4.28,4.21,4.85,4.55,4.7,4.04,4.8,3.54
e_0,31.75,33.48,21.97,26.31,23.96,19.84,6.78,7.3,4.49,4.69,2.51,4.67,5.29,3.89,2.3,3.05
g_0,28.19,34.46,23.78,29.69,29.95,27.28,6.16,8.95,5.22,6.52,5.97,4.84,5.96,2.96,4.86,4.67
