,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.45,0.91,1.13,1.05,0.77,0.9,0.98,0.85,0.99,1.22,,0.93,0.77,1.0,0.78
e_1,0.69,1.0,0.99,1.12,0.91,1.11,0.92,1.27,1.39,1.03,0.97,1.02,1.08,1.0,,0.98
d_1,1.1,1.01,1.0,0.93,0.92,0.98,1.13,0.68,,1.39,0.88,1.02,1.03,0.97,1.18,0.84
c_1,0.89,0.89,1.08,1.0,1.39,0.92,1.05,1.28,0.82,,0.89,0.73,1.17,0.97,1.06,1.02
b_1,0.95,1.1,1.09,0.72,1.0,1.41,1.26,0.76,1.03,1.3,,0.91,0.9,0.89,1.1,1.1
a_1,1.29,0.9,1.02,1.08,0.71,1.0,1.0,,1.03,0.95,1.03,,0.8,,1.0,
h_1,1.11,1.08,0.89,0.95,0.79,1.0,1.0,1.16,1.0,1.08,1.0,1.03,,0.78,0.97,1.06
g_1,1.02,0.79,1.47,0.78,1.32,,0.86,1.0,0.81,1.02,0.93,1.43,0.88,,0.87,
d_0,1.18,0.72,,1.22,0.97,0.97,1.0,1.24,1.0,0.86,1.04,0.98,0.86,1.07,1.0,1.17
c_0,1.01,0.97,0.72,,0.77,1.06,0.92,0.98,1.16,1.0,1.56,0.81,1.34,1.08,0.87,0.98
b_0,0.82,1.03,1.13,1.12,,0.97,1.0,1.08,0.96,0.64,1.0,1.12,1.16,1.63,0.87,0.81
f_0,,0.98,0.98,1.38,1.1,,0.97,0.7,1.02,1.24,0.89,1.0,0.98,,1.13,0.93
h_0,1.08,0.92,0.97,0.85,1.11,1.25,,1.13,1.16,0.75,0.86,1.02,,0.83,0.9,1.3
a_0,1.3,1.0,1.03,1.03,1.12,,1.27,,0.94,0.92,0.61,,1.21,1.0,,1.12
e_0,1.0,,0.85,0.95,0.91,1.0,1.03,1.14,1.0,1.15,1.14,0.88,1.11,,1.0,1.0
g_0,1.28,1.02,1.19,0.98,0.91,,0.94,,0.86,1.02,1.24,1.07,0.77,0.89,1.0,
