,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,36.04,0.06,0.05,0.07,0.08,0.08,0.36,0.55,0.26,0.47,0.31,0.3,0.64,0.51,0.4,
f_1,0.14,39.23,0.08,0.07,0.07,0.05,0.24,0.36,0.21,0.36,0.36,,0.58,0.27,0.67,0.22
d_1,0.07,0.07,40.35,0.05,0.08,0.06,0.35,,0.28,0.71,0.38,0.43,0.58,0.3,0.57,0.36
c_1,0.06,0.07,0.07,41.1,0.12,0.09,0.31,0.38,0.34,,0.28,0.39,0.57,0.31,0.53,0.38
b_1,0.06,0.06,0.08,0.07,45.76,0.14,0.35,0.27,0.28,0.41,,0.42,0.55,0.25,0.63,0.35
a_1,0.05,0.06,0.06,0.06,0.09,71.1,0.28,0.43,0.26,0.46,0.35,0.47,0.6,,0.37,0.49
h_1,0.22,0.37,0.27,0.14,0.24,0.32,28.85,1.54,1.8,0.92,1.16,1.29,,1.51,4.52,1.59
d_0,0.39,0.32,,0.71,0.35,0.4,1.23,17.04,1.03,1.75,2.53,1.74,3.38,1.72,2.45,2.66
g_1,0.2,0.29,0.42,0.24,0.26,,0.95,1.77,37.22,1.51,1.28,2.75,1.76,1.21,,1.36
c_0,0.31,0.46,0.27,,0.29,0.39,1.53,2.79,1.19,18.81,3.51,2.18,3.41,1.35,3.07,1.74
b_0,0.36,0.34,0.28,0.42,,0.31,2.0,1.53,0.92,1.92,22.17,2.22,3.43,4.84,2.04,1.85
f_0,0.25,,0.46,0.42,0.33,0.32,1.72,2.1,1.98,1.87,1.34,21.6,3.48,2.17,3.56,2.71
h_0,0.72,0.69,0.46,0.56,0.69,0.35,,2.82,3.19,2.42,3.96,1.86,,3.3,4.98,3.68
a_0,0.28,0.33,0.36,0.21,0.21,,1.52,2.23,2.07,1.9,1.91,2.45,3.81,31.41,3.72,
g_0,0.37,0.42,0.93,0.61,0.47,0.49,1.82,3.5,,3.27,3.15,4.67,5.03,,,3.08
e_0,,0.42,0.45,0.48,,0.4,1.24,1.95,1.24,2.51,3.15,,2.79,2.28,,35.57
