,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,22.79,0.35,0.26,0.34,0.37,0.35,0.77,0.79,1.78,0.65,0.87,0.8,0.91,0.88,0.23,0.6
f_1,0.66,24.11,0.35,0.35,0.31,0.27,0.7,0.65,0.67,0.64,0.18,0.8,0.85,0.57,0.64,0.97
d_1,0.31,0.32,27.8,0.23,0.36,0.4,0.66,0.82,0.24,1.72,0.85,0.88,1.07,0.7,0.81,0.86
c_1,0.27,0.37,0.34,30.01,0.64,0.29,0.62,0.55,0.7,0.13,0.83,0.55,0.93,0.92,0.97,0.96
b_1,0.32,0.37,0.24,0.34,31.87,0.69,0.82,0.75,0.77,0.91,0.87,0.22,0.86,0.66,0.71,0.82
a_1,0.26,0.39,0.33,0.44,0.31,52.48,0.78,0.51,0.69,0.84,0.69,0.81,0.62,0.18,0.54,0.95
h_1,0.57,0.77,0.77,0.69,0.56,0.53,9.19,1.77,1.33,1.42,1.4,1.29,0.49,1.12,1.67,2.0
g_1,0.56,0.54,1.21,0.44,0.46,0.59,1.26,11.62,1.03,1.29,3.09,1.75,1.28,1.67,2.21,0.44
d_0,0.51,0.67,0.22,1.66,0.72,0.6,1.33,1.16,4.93,1.45,1.42,1.41,1.56,1.65,1.49,1.6
c_0,0.74,0.64,0.8,0.21,0.61,0.76,1.46,1.52,1.05,5.8,1.61,3.57,1.56,1.86,1.38,1.83
f_0,0.49,0.23,0.86,1.02,0.59,0.55,1.82,1.35,1.77,1.78,6.8,2.35,1.51,1.86,4.24,2.21
b_0,0.77,0.59,0.81,0.66,0.22,0.63,1.19,1.44,1.49,1.25,1.72,7.34,2.15,3.44,1.77,1.66
h_0,0.58,1.03,0.68,0.78,0.47,0.6,0.36,1.66,1.26,1.15,1.54,1.32,0.57,1.42,1.45,1.86
a_0,0.67,0.6,0.99,0.67,0.61,0.27,1.5,1.59,1.57,1.02,1.43,1.51,2.11,8.1,2.24,1.38
e_0,0.28,0.92,0.6,0.7,0.76,0.71,1.72,1.15,1.54,1.79,1.8,1.43,1.94,2.07,8.69,1.86
g_0,0.53,0.48,1.5,0.81,0.57,0.41,1.39,0.49,1.14,1.12,1.59,1.43,1.46,1.6,1.68,0.41
