,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,34.44,0.07,0.06,0.07,0.06,0.08,0.2,0.2,0.83,0.42,0.39,0.33,0.66,0.3,,0.4
f_1,0.1,35.61,0.05,0.05,0.09,0.06,0.29,0.25,0.39,0.42,0.48,,0.59,0.32,0.22,0.76
d_1,0.08,0.06,41.54,0.05,0.06,0.06,0.24,0.25,,0.8,0.37,0.46,0.51,0.27,0.56,0.56
c_1,0.09,0.06,0.07,43.5,0.11,0.05,0.34,0.22,0.32,,0.31,0.45,0.48,0.5,0.45,0.45
b_1,0.06,0.07,0.07,0.08,48.67,0.14,0.3,0.31,0.32,0.32,,0.38,0.53,0.25,0.43,0.49
a_1,0.05,0.04,0.1,0.07,0.06,79.42,0.27,0.31,0.31,0.37,,0.53,0.65,,0.45,0.82
h_1,0.21,0.37,0.25,0.28,0.28,0.32,26.91,1.25,1.53,1.62,1.19,1.51,,1.26,1.51,2.59
g_1,0.23,0.21,0.49,0.3,0.13,0.34,1.38,34.5,1.18,1.19,1.13,2.08,1.86,1.53,1.41,
d_0,0.22,0.33,,0.71,0.43,0.32,2.23,1.8,18.19,1.69,1.82,1.34,3.07,1.46,1.54,3.16
c_0,0.34,0.45,0.4,,0.23,,1.96,1.6,2.0,17.24,3.32,2.15,3.53,1.93,2.41,2.15
b_0,0.32,0.34,0.34,0.31,,0.31,1.82,1.73,1.82,1.71,21.33,1.42,3.52,4.73,,2.8
f_0,0.3,,0.33,0.32,0.44,0.37,1.14,1.6,1.55,2.09,2.67,23.63,4.04,,2.95,3.07
h_0,0.55,0.95,0.33,0.54,0.54,0.39,,2.89,3.53,2.5,3.01,2.57,,2.6,2.6,7.77
a_0,0.38,0.32,0.44,0.32,0.31,,1.35,1.92,1.28,2.37,1.28,1.34,2.61,31.62,2.97,2.52
e_0,,0.36,0.38,0.34,0.4,0.54,1.44,,1.77,2.45,3.01,1.52,4.74,,32.14,2.23
g_0,0.62,0.38,0.73,0.51,0.59,0.53,1.95,,2.9,2.55,2.57,4.63,4.56,3.88,2.86,
