,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.53,1.02,0.95,1.12,0.9,0.82,1.19,1.73,1.19,1.12,1.21,1.24,1.26,1.03,1.25,0.97
f_1,1.4,1.53,1.02,0.98,0.88,0.76,1.12,1.31,1.13,1.13,1.06,0.94,1.08,1.03,1.21,0.77
d_1,1.04,1.12,1.55,0.88,0.88,0.76,1.2,1.12,1.7,1.06,1.34,1.16,1.31,1.06,1.17,1.09
c_1,1.02,1.08,1.03,1.58,1.4,0.85,1.13,1.03,0.87,0.97,0.93,1.04,1.21,0.92,1.16,0.99
b_1,1.16,1.13,1.12,0.97,1.65,1.27,1.22,1.21,1.24,1.06,0.92,1.05,1.37,0.92,1.16,1.01
a_1,1.11,1.32,1.24,1.12,0.9,1.82,1.4,1.25,1.3,1.28,1.45,1.09,1.54,0.93,1.41,1.03
h_1,1.32,1.49,1.3,1.3,1.09,0.82,1.87,1.34,1.41,1.53,1.42,1.34,1.39,1.24,1.76,1.27
d_0,1.19,1.31,1.09,1.91,1.32,1.05,1.44,1.76,1.27,1.34,1.47,1.43,1.63,1.23,1.59,1.22
c_0,1.28,1.47,1.29,1.31,1.03,0.96,1.55,1.64,1.86,1.47,2.26,1.58,1.9,1.66,1.67,1.37
g_1,1.15,1.3,1.72,1.3,1.08,0.97,1.36,1.42,1.65,1.94,1.56,1.68,1.53,1.34,1.54,1.41
b_0,1.24,1.48,1.31,1.49,1.11,0.85,1.58,1.7,1.44,1.49,1.9,1.59,1.85,2.16,1.68,1.44
f_0,1.07,1.37,1.48,1.44,1.35,1.11,1.66,1.63,1.56,1.47,1.59,1.92,1.8,1.47,1.56,2.28
h_0,1.39,1.75,1.48,1.36,1.22,1.07,1.35,1.54,1.53,1.67,1.44,1.36,1.61,1.29,1.88,1.24
a_0,1.38,1.5,1.49,1.38,1.38,0.96,1.62,1.75,1.69,1.46,1.57,1.67,1.73,1.93,1.71,1.45
g_0,1.31,1.41,1.82,1.3,1.32,1.13,1.42,1.45,1.58,1.31,1.59,1.96,1.69,1.25,1.5,1.6
e_0,1.1,1.61,1.57,1.55,1.38,1.24,1.74,1.62,1.65,1.46,1.65,1.34,1.93,1.45,1.78,1.91
