,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.52,0.71,0.79,0.54,0.65,0.63,0.95,1.68,0.8,0.75,0.87,1.12,1.01,0.99,0.52,1.01
f_1,1.18,2.6,0.55,0.58,0.54,0.69,0.78,0.91,0.88,0.74,0.96,0.44,0.86,0.81,0.78,0.95
c_1,0.52,0.65,2.79,0.71,1.11,0.55,0.78,0.76,0.4,0.85,0.7,0.94,0.74,0.94,0.89,0.84
d_1,0.61,0.72,0.48,2.85,0.64,0.58,1.01,0.44,1.68,1.1,1.27,0.93,1.09,1.08,1.14,0.89
b_1,0.63,0.62,0.83,0.67,2.91,1.04,0.91,0.85,0.83,0.77,0.39,0.83,0.64,0.95,0.9,0.94
a_1,0.66,0.64,0.71,0.71,0.62,4.52,1.03,0.97,0.83,0.92,0.99,0.9,0.74,0.97,1.1,1.3
h_1,0.68,1.15,0.68,0.9,0.77,0.7,2.81,0.99,1.11,1.5,1.25,1.15,1.19,0.72,1.3,1.37
d_0,0.75,0.88,1.52,0.55,0.83,0.61,0.97,2.14,0.92,1.07,0.87,1.09,1.18,1.22,1.01,0.98
c_0,0.78,0.9,0.51,0.96,0.59,0.73,1.2,1.08,2.18,1.34,2.47,1.48,1.55,1.27,1.0,1.16
g_1,0.74,0.62,0.85,1.27,0.73,0.66,0.96,0.75,1.13,3.69,1.14,1.98,1.21,1.2,1.55,0.59
b_0,0.71,0.84,0.8,0.89,0.51,0.85,1.22,1.13,1.43,1.29,2.66,1.38,2.45,1.09,1.26,1.26
f_0,0.62,0.59,0.9,0.84,0.85,0.82,1.25,1.23,1.22,1.2,1.49,2.86,1.37,1.61,2.4,1.1
a_0,0.8,0.88,0.9,0.89,0.66,0.54,1.2,1.25,1.42,0.97,1.27,1.11,2.87,1.15,1.37,1.0
h_0,0.77,1.09,0.77,0.92,0.75,0.69,0.58,1.11,1.26,1.62,1.25,1.09,1.02,1.01,1.29,1.56
e_0,0.5,0.91,0.72,0.99,0.84,0.65,1.32,1.14,1.45,1.47,1.36,1.2,1.29,1.47,3.26,1.36
g_0,0.68,0.76,0.75,1.45,0.76,0.77,1.05,0.87,1.31,0.76,1.02,1.9,1.1,1.2,1.21,0.89
