,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.13,0.78,0.92,0.72,0.49,0.55,0.35,0.36,0.38,0.4,0.33,0.31,0.34,0.35
f_1,1.23,1.0,0.93,0.88,0.81,0.57,0.36,0.46,0.35,0.33,0.34,0.29,0.27,0.32,0.26,0.3
c_1,0.87,1.07,1.0,1.17,1.21,0.71,0.5,0.33,0.37,0.31,0.37,0.33,0.34,0.3,0.34,0.29
d_1,1.28,1.14,0.85,1.0,0.88,0.79,0.53,0.48,0.58,0.47,0.35,0.39,0.36,0.36,0.32,0.26
b_1,1.1,1.23,0.85,1.12,1.0,1.3,0.57,0.52,0.49,0.5,0.43,0.44,0.4,0.37,0.36,0.32
a_1,1.38,1.74,1.38,1.26,0.79,1.0,0.72,0.63,0.67,0.67,0.54,0.5,0.56,0.53,0.49,0.48
h_1,2.06,2.69,1.99,1.95,1.73,1.31,1.0,0.83,0.82,0.79,0.89,0.78,0.65,0.64,0.64,0.71
d_0,1.81,2.18,3.07,2.12,1.99,1.57,1.24,1.0,0.78,0.83,0.98,0.79,0.79,0.68,0.79,0.8
c_0,2.81,2.74,2.57,1.73,1.98,1.52,1.14,1.24,1.0,1.17,1.0,0.93,0.87,0.84,0.72,0.71
b_0,2.8,2.95,3.39,2.13,2.16,1.43,1.29,1.21,0.87,1.0,1.06,0.88,0.9,1.26,0.83,0.9
g_1,2.72,2.83,2.65,2.79,2.33,1.74,1.19,1.05,0.98,0.95,1.0,1.06,0.71,0.81,0.74,0.82
f_0,2.35,3.36,3.03,2.66,2.38,1.92,1.36,1.23,1.09,1.07,0.99,1.0,0.98,0.87,1.28,0.67
h_0,3.03,3.68,2.87,2.82,2.46,1.76,1.56,1.25,1.13,1.17,1.38,1.02,1.0,1.01,0.86,1.02
a_0,3.13,3.19,3.38,2.75,2.61,1.9,1.65,1.51,1.13,0.78,1.24,1.14,0.99,1.0,0.99,0.99
e_0,2.91,3.72,2.88,3.23,2.63,2.18,1.51,1.29,1.38,1.22,1.37,0.78,1.21,1.08,1.0,0.96
g_0,3.11,3.34,3.39,3.76,3.06,2.12,1.46,1.25,1.33,1.1,1.23,1.49,0.98,1.04,1.0,1.0
