,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.94,0.27,0.24,0.32,0.24,0.14,0.21,0.16,0.32,0.17,0.18,0.18,0.19,0.08,0.16,0.13
f_1,0.47,0.94,0.27,0.25,0.2,0.18,0.17,0.17,0.17,0.18,0.07,0.16,0.17,0.1,0.13,0.1
d_1,0.3,0.33,0.94,0.26,0.24,0.21,0.2,0.14,0.08,0.3,0.16,0.19,0.18,0.12,0.13,0.09
c_1,0.26,0.36,0.29,0.93,0.4,0.2,0.21,0.16,0.16,0.06,0.15,0.15,0.19,0.11,0.15,0.12
b_1,0.31,0.34,0.29,0.23,0.93,0.33,0.22,0.18,0.19,0.2,0.19,0.08,0.18,0.16,0.14,0.13
a_1,0.42,0.35,0.36,0.3,0.25,0.93,0.25,0.17,0.18,0.22,0.19,0.16,0.17,0.14,0.16,0.05
h_1,0.52,0.75,0.5,0.5,0.42,0.33,0.73,0.43,0.35,0.33,0.3,0.29,0.16,0.24,0.29,0.22
g_1,0.62,0.59,0.83,0.44,0.35,0.42,0.31,0.72,0.29,0.34,0.46,0.32,0.24,0.22,0.17,0.24
d_0,0.48,0.63,0.31,0.99,0.5,0.43,0.37,0.31,0.6,0.33,0.36,0.31,0.29,0.27,0.3,0.27
c_0,0.7,0.6,0.61,0.41,0.41,0.45,0.36,0.35,0.37,0.61,0.42,0.53,0.35,0.29,0.31,0.28
f_0,0.59,0.45,0.54,0.7,0.49,0.43,0.45,0.29,0.43,0.34,0.62,0.38,0.3,0.49,0.32,0.27
b_0,0.6,0.61,0.65,0.65,0.33,0.38,0.42,0.36,0.4,0.33,0.37,0.63,0.35,0.33,0.34,0.46
h_0,0.58,0.8,0.7,0.67,0.48,0.5,0.28,0.45,0.45,0.37,0.37,0.35,0.23,0.25,0.4,0.25
e_0,0.31,0.85,0.79,0.8,0.53,0.47,0.48,0.43,0.4,0.42,0.36,0.32,0.41,0.61,0.27,0.24
g_0,0.56,0.6,1.01,0.64,0.54,0.39,0.41,0.3,0.43,0.41,0.53,0.36,0.35,0.4,0.25,0.24
a_0,0.66,0.84,1.0,0.7,0.5,0.28,0.46,0.38,0.44,0.37,0.41,0.34,0.38,0.26,0.37,0.59
