,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,36.04,0.07,0.05,0.09,0.07,0.05,0.3,0.36,0.37,0.63,0.35,0.37,0.42,0.39,,0.42
f_1,0.11,36.83,0.06,0.09,0.06,0.04,0.32,0.16,0.29,0.38,0.41,,0.64,0.41,0.5,0.49
d_1,0.05,0.06,39.82,0.05,0.08,0.08,0.27,0.31,0.69,,0.37,0.31,0.88,0.37,0.34,0.5
c_1,0.06,0.07,0.07,44.6,0.13,0.08,0.26,0.24,,0.38,0.21,0.44,0.54,0.47,0.42,0.74
b_1,0.06,0.07,0.08,0.06,48.96,0.11,0.38,0.26,0.32,0.31,,0.47,0.71,,0.33,0.65
a_1,0.07,0.06,0.05,0.06,0.07,70.53,0.36,0.2,0.46,0.39,0.26,0.33,0.67,,0.43,0.77
h_1,0.26,0.35,0.25,0.25,0.16,0.29,26.91,1.92,1.8,1.46,1.55,1.0,,1.4,1.02,2.52
g_1,0.21,0.21,0.46,0.32,0.17,0.24,1.16,33.29,1.52,1.21,1.22,2.54,2.25,1.03,1.16,
c_0,0.32,0.34,0.38,,0.27,0.44,1.59,1.3,17.3,1.92,4.08,1.91,3.05,1.64,2.28,2.61
d_0,0.36,0.36,,0.56,0.32,0.29,1.75,0.94,1.45,19.21,2.25,2.25,2.6,1.85,2.97,2.99
b_0,0.32,0.33,0.32,0.3,,0.32,1.65,1.45,1.91,2.06,17.94,2.21,2.85,4.7,2.21,3.16
f_0,0.3,,0.39,0.35,0.46,0.5,1.41,1.67,1.92,1.79,2.73,21.54,3.83,1.32,2.62,2.74
h_0,0.64,0.82,0.47,0.53,0.48,0.72,,2.86,3.32,2.44,2.37,2.44,,1.95,2.74,7.42
a_0,0.34,0.38,0.44,0.27,0.54,,0.97,1.56,1.84,2.07,1.87,2.59,3.06,28.55,,
e_0,,0.43,0.31,0.43,0.4,,1.78,1.67,1.77,2.35,2.01,2.21,2.93,,31.92,2.65
g_0,0.66,0.32,0.82,0.62,0.47,0.36,1.42,,4.03,3.07,3.77,4.05,3.84,3.29,2.23,
