,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.92,1.12,0.51,0.53,0.45,0.41,0.76,0.67,0.77,0.85,0.97,0.38,1.03,0.94,0.58,0.87
e_1,0.6,17.54,0.67,0.4,0.52,0.46,0.87,0.88,2.11,0.98,1.06,0.93,0.86,0.99,0.36,1.08
c_1,0.49,0.38,18.73,0.64,1.07,0.52,0.79,0.85,0.9,0.21,0.77,0.93,1.03,0.82,1.08,0.91
d_1,0.6,0.46,0.43,19.45,0.59,0.54,0.95,0.92,0.29,2.06,1.24,1.01,1.04,0.96,0.97,0.78
b_1,0.51,0.44,0.55,0.51,20.96,1.18,0.92,0.92,0.95,0.91,0.23,1.02,0.81,0.87,1.1,1.0
a_1,0.5,0.68,0.45,0.73,0.44,32.8,0.94,0.86,0.72,0.88,0.91,0.97,0.81,0.25,0.93,0.65
h_1,0.95,0.57,0.7,0.8,0.63,0.5,5.62,1.52,1.02,1.08,1.08,1.0,0.62,1.05,1.28,1.93
g_1,0.53,0.35,0.7,1.27,0.65,0.7,1.15,7.09,0.96,1.09,1.29,2.58,1.05,1.41,1.71,0.76
d_0,0.59,0.64,1.76,0.3,0.6,0.71,1.12,0.92,3.05,0.77,1.26,1.29,1.31,0.96,1.23,1.37
c_0,0.92,0.68,0.37,0.83,0.47,0.82,1.34,0.94,1.18,2.95,2.96,1.24,1.26,1.53,1.42,1.15
b_0,0.88,0.78,0.78,0.73,0.29,0.59,1.05,1.21,1.04,1.27,3.86,1.07,1.72,3.03,1.43,1.55
f_0,0.32,0.44,0.96,0.65,0.67,0.91,1.42,1.22,1.37,1.44,0.96,4.56,1.51,0.87,4.07,1.56
h_0,1.17,0.67,0.78,0.73,0.62,0.65,0.45,1.68,1.01,0.92,1.14,1.11,0.78,1.34,1.06,1.97
a_0,0.8,0.85,0.79,0.77,0.83,0.42,1.18,0.72,0.83,1.01,1.23,1.05,1.28,5.03,0.67,1.33
e_0,0.81,0.27,0.67,0.54,0.7,0.85,1.28,1.49,1.46,1.02,1.13,1.55,1.88,1.35,5.66,1.33
g_0,0.61,0.62,0.81,1.26,0.53,0.63,1.01,0.89,0.99,1.09,0.96,1.76,1.54,1.19,1.45,0.71
