,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.9,0.42,0.18,0.18,0.13,0.13,0.18,0.17,0.14,0.18,0.17,0.07,0.19,0.11,0.16,0.07
e_1,0.28,0.89,0.17,0.26,0.16,0.09,0.21,0.2,0.16,0.36,0.16,0.18,0.2,0.14,0.17,0.06
d_1,0.24,0.2,0.9,0.18,0.19,0.09,0.22,0.38,0.14,0.08,0.18,0.18,0.19,0.12,0.16,0.14
c_1,0.22,0.18,0.23,0.89,0.34,0.11,0.2,0.08,0.13,0.18,0.12,0.15,0.19,0.1,0.17,0.1
b_1,0.22,0.2,0.24,0.23,0.88,0.23,0.21,0.17,0.12,0.17,0.08,0.16,0.17,0.12,0.14,0.1
a_1,0.21,0.22,0.25,0.22,0.17,0.88,0.21,0.21,0.18,0.18,0.18,0.18,0.22,0.07,0.16,0.1
h_1,0.4,0.23,0.31,0.23,0.19,0.13,0.59,0.22,0.25,0.25,0.22,0.18,0.14,0.12,0.28,0.12
c_0,0.36,0.24,0.27,0.19,0.15,0.15,0.27,0.46,0.25,0.26,0.42,0.25,0.25,0.19,0.2,0.16
g_1,0.27,0.24,0.39,0.26,0.21,0.12,0.25,0.24,0.56,0.2,0.18,0.29,0.19,0.16,0.11,0.13
d_0,0.29,0.22,0.17,0.51,0.2,0.12,0.24,0.17,0.2,0.44,0.22,0.19,0.22,0.17,0.24,0.15
b_0,0.36,0.27,0.3,0.28,0.1,0.12,0.22,0.24,0.2,0.26,0.46,0.21,0.27,0.35,0.23,0.12
f_0,0.2,0.18,0.32,0.29,0.23,0.15,0.29,0.26,0.21,0.24,0.19,0.44,0.22,0.17,0.19,0.34
h_0,0.44,0.26,0.26,0.26,0.18,0.12,0.16,0.24,0.28,0.21,0.2,0.18,0.16,0.15,0.23,0.11
a_0,0.3,0.26,0.35,0.27,0.23,0.07,0.27,0.24,0.17,0.27,0.2,0.21,0.25,0.39,0.19,0.17
g_0,0.27,0.24,0.4,0.28,0.2,0.1,0.24,0.25,0.16,0.22,0.21,0.32,0.22,0.13,0.14,0.17
e_0,0.34,0.19,0.32,0.31,0.23,0.13,0.23,0.28,0.15,0.23,0.18,0.21,0.25,0.14,0.22,0.38
