,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,0.98,1.08,0.85,0.9,0.68,0.41,0.42,0.4,0.43,0.36,0.29,0.31,0.28,0.24,0.31
c_1,1.02,1.0,0.85,1.25,1.09,0.73,0.42,0.34,0.36,0.46,0.3,0.35,0.3,0.34,0.31,0.31
e_1,0.93,1.15,1.0,1.0,0.84,0.72,0.52,0.62,0.43,0.45,0.41,0.43,0.33,0.36,0.31,0.36
b_1,1.17,0.82,0.98,1.0,1.03,1.14,0.54,0.41,0.49,0.49,0.42,0.4,0.32,0.35,0.34,0.33
d_1,1.09,0.94,1.15,0.95,1.0,0.82,0.5,0.5,0.58,0.36,0.48,0.44,0.42,0.36,0.34,0.29
a_1,1.44,1.32,1.43,0.9,1.24,1.0,0.69,0.66,0.56,0.62,0.56,0.51,0.45,0.46,0.44,0.44
h_1,2.39,2.34,1.93,1.92,1.95,1.46,1.0,0.92,0.88,1.11,0.8,0.77,0.66,0.79,0.61,0.71
d_0,2.41,2.92,1.63,2.43,2.02,1.45,1.08,1.0,0.82,0.97,0.73,0.82,0.68,0.77,0.8,0.7
c_0,2.52,2.68,2.37,2.05,1.76,1.71,1.21,1.28,1.0,0.93,1.18,0.91,1.05,0.87,0.82,0.68
g_1,2.29,2.28,2.23,2.04,2.67,1.51,0.87,1.0,1.07,1.0,0.88,1.02,0.77,0.7,0.77,0.72
b_0,2.78,3.26,2.38,2.45,2.19,1.76,1.3,1.35,0.88,1.09,1.0,0.96,1.21,0.88,0.82,0.78
f_0,3.24,2.9,2.45,2.47,2.2,1.98,1.28,1.2,1.13,0.95,1.07,1.0,0.94,0.98,1.13,0.67
a_0,3.26,3.36,2.9,3.29,2.45,2.22,1.54,1.46,1.02,1.38,0.88,1.11,1.0,1.08,0.95,0.87
h_0,3.4,3.01,2.69,2.93,2.87,2.12,1.29,1.25,1.12,1.34,1.11,1.02,0.98,1.0,0.9,0.96
e_0,4.1,3.23,3.46,2.82,2.93,2.29,1.66,1.3,1.3,1.28,1.28,0.85,1.07,1.13,1.0,0.89
g_0,3.2,3.17,2.77,3.0,3.45,2.4,1.44,1.41,1.41,1.41,1.28,1.44,1.13,1.02,1.14,1.0
