,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.94,0.82,0.93,0.94,0.72,0.66,0.86,0.61,0.9,0.54,0.58,0.57,0.72,,0.55
d_1,1.07,1.0,1.01,1.17,0.78,0.84,0.79,,0.89,0.52,0.67,0.54,0.77,0.36,0.66,0.51
f_1,1.22,0.99,1.0,1.08,0.81,0.89,0.68,0.57,0.6,0.61,0.68,,0.5,0.78,0.67,0.64
c_1,1.07,0.86,0.92,1.0,1.43,0.83,0.84,0.47,,0.61,0.62,0.77,0.61,0.53,0.71,0.53
b_1,1.07,1.28,1.24,0.7,1.0,,0.68,0.69,0.71,0.75,,0.56,0.76,0.48,0.47,0.61
a_1,1.39,1.19,1.13,1.21,,1.0,0.99,0.79,0.78,,0.82,0.79,0.65,0.56,,
h_1,1.51,1.27,1.47,1.19,1.46,1.01,1.0,1.18,1.22,1.28,0.77,0.77,,0.83,0.77,0.73
d_0,1.16,,1.75,2.11,1.45,1.27,0.84,1.0,0.96,0.93,1.19,0.73,0.89,0.81,0.66,0.93
c_0,1.63,1.12,1.65,,1.41,1.28,0.82,1.04,1.0,0.83,1.4,1.0,0.86,1.12,0.8,0.7
g_1,1.11,1.93,1.64,1.64,1.34,,0.78,1.08,1.2,1.0,1.07,1.51,0.64,,0.78,
b_0,1.85,1.49,1.48,1.61,,1.21,1.29,0.84,0.71,0.93,1.0,1.08,0.96,1.15,0.98,1.24
f_0,1.72,1.84,,1.29,1.79,1.26,1.3,1.37,1.0,0.66,0.93,1.0,0.93,0.75,1.3,0.82
h_0,1.75,1.3,1.99,1.65,1.32,1.54,,1.13,1.17,1.55,1.04,1.08,,1.21,0.74,0.66
g_0,1.4,2.75,1.28,1.88,2.09,1.77,1.21,1.24,0.89,,0.87,1.34,0.83,,0.92,0.94
e_0,,1.51,1.48,1.4,2.11,,1.3,1.5,1.25,1.28,1.02,0.77,1.35,1.09,1.0,
a_0,1.8,1.97,1.56,1.89,1.64,,1.37,1.07,1.43,,0.8,1.22,1.51,1.06,,1.0
