,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.45,0.75,0.95,0.9,0.72,0.24,0.31,0.18,0.16,0.15,0.17,0.12,0.16,0.39,0.12
f_1,0.76,0.17,0.75,0.8,0.66,0.7,0.15,0.26,0.17,0.14,0.16,0.34,0.08,0.14,0.15,0.12
d_1,0.89,0.73,0.15,0.87,0.79,0.78,0.2,0.12,0.46,0.14,0.16,0.13,0.11,0.13,0.13,0.08
c_1,0.55,0.82,1.04,0.14,0.7,0.78,0.26,0.23,0.09,0.31,0.17,0.16,0.12,0.19,0.18,0.12
b_1,0.76,0.9,0.77,0.4,0.14,0.96,0.23,0.23,0.17,0.26,0.41,0.16,0.12,0.17,0.16,0.11
a_1,0.84,0.87,0.77,0.82,0.44,0.09,0.26,0.27,0.15,0.18,0.19,0.15,0.14,0.44,0.15,0.15
h_1,0.67,0.63,0.64,0.57,0.51,0.52,0.06,0.2,0.17,0.13,0.12,0.11,0.18,0.12,0.11,0.09
g_1,0.62,0.72,0.63,0.68,0.61,0.61,0.13,0.05,0.14,0.13,0.14,0.13,0.07,0.13,0.09,0.15
d_0,0.35,0.63,1.36,0.6,0.74,0.51,0.19,0.19,0.07,0.15,0.12,0.12,0.09,0.21,0.13,0.1
c_0,0.63,0.69,0.33,1.33,0.75,0.62,0.21,0.18,0.2,0.06,0.12,0.15,0.09,0.12,0.13,0.08
b_0,0.57,0.6,0.46,0.78,1.44,0.62,0.22,0.19,0.13,0.07,0.06,0.12,0.1,0.1,0.11,0.1
f_0,0.56,1.28,0.62,0.61,0.62,0.54,0.19,0.11,0.13,0.13,0.11,0.06,0.09,0.13,0.11,0.05
h_0,0.54,0.59,0.55,0.63,0.68,0.53,0.33,0.19,0.13,0.12,0.12,0.12,0.13,0.13,0.11,0.09
a_0,0.6,0.66,0.51,0.59,0.99,0.81,0.2,0.2,0.14,0.1,0.06,0.13,0.09,0.04,0.11,0.09
e_0,1.15,0.84,0.57,0.57,0.48,0.64,0.17,0.17,0.13,0.13,0.13,0.05,0.11,0.12,0.04,0.06
g_0,0.59,0.68,0.69,0.57,0.66,0.48,0.11,0.3,0.17,0.13,0.12,0.11,0.06,0.13,0.1,0.14
