,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.13,1.33,0.45,0.5,0.52,0.52,0.82,0.71,0.84,0.93,0.87,0.36,0.82,0.69,0.76,0.85
e_1,0.7,16.25,0.47,0.84,0.45,0.54,0.94,0.79,0.73,1.85,0.92,0.96,0.92,0.83,0.54,0.98
d_1,0.56,0.5,17.89,0.35,0.58,0.64,0.83,2.46,0.98,0.49,1.26,1.12,1.15,1.14,1.17,0.98
c_1,0.49,0.44,0.52,19.64,1.47,0.39,0.73,0.24,0.82,0.66,0.66,0.84,0.94,1.0,0.94,1.02
b_1,0.55,0.46,0.7,0.42,19.23,1.38,0.92,0.8,0.82,0.83,0.35,0.92,0.9,0.6,0.82,0.95
a_1,0.6,0.52,0.6,0.68,0.46,27.16,1.19,0.84,0.7,1.12,0.86,1.04,1.01,0.53,0.79,0.99
h_1,1.21,0.67,0.73,0.77,0.55,0.8,4.62,1.06,1.41,0.94,1.25,0.96,0.68,1.49,1.03,1.61
c_0,0.9,0.71,0.9,0.5,0.51,0.64,1.09,3.07,1.57,1.15,3.53,1.48,1.42,1.64,1.29,1.15
g_1,0.47,0.63,1.79,0.67,0.71,0.61,0.88,1.28,6.14,0.78,1.02,2.32,1.19,1.05,0.96,0.75
d_0,0.77,0.79,0.44,2.02,0.62,0.59,1.32,0.82,1.01,2.76,1.27,0.94,1.36,1.21,1.17,0.92
b_0,0.93,0.73,0.82,0.9,0.32,0.51,1.25,1.36,1.19,1.05,3.79,1.3,1.37,3.63,1.38,1.05
f_0,0.42,0.47,0.85,0.91,0.83,0.66,1.21,1.6,1.31,1.17,1.51,3.73,1.59,1.92,4.0,1.23
h_0,1.24,0.66,0.89,0.84,0.58,0.46,0.63,1.21,1.62,1.09,1.09,1.16,0.64,1.07,1.4,1.49
a_0,0.88,0.69,0.87,1.09,0.66,0.24,1.34,1.14,1.47,1.15,1.43,1.42,1.36,4.04,1.66,1.12
e_0,0.69,0.35,0.81,1.06,0.81,0.66,1.25,1.42,1.54,1.21,1.68,1.42,1.43,1.37,4.77,1.53
g_0,0.5,0.62,1.54,0.79,0.55,0.7,1.11,1.12,1.0,1.16,1.59,2.69,1.02,1.18,1.51,0.69
