,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.96,0.62,0.51,0.69,0.6,0.42,0.45,0.38,0.56,0.32,0.35,0.35,0.36,0.26,0.21,0.31
f_1,0.9,0.96,0.55,0.61,0.51,0.37,0.39,0.35,0.4,0.36,0.29,0.34,0.33,0.25,0.2,0.25
d_1,0.68,0.7,0.96,0.51,0.58,0.42,0.45,0.36,0.33,0.55,0.34,0.4,0.37,0.3,0.26,0.28
c_1,0.58,0.61,0.67,0.95,0.88,0.46,0.42,0.35,0.35,0.29,0.33,0.26,0.37,0.26,0.26,0.31
b_1,0.61,0.68,0.66,0.55,0.95,0.73,0.43,0.38,0.37,0.39,0.37,0.3,0.36,0.23,0.3,0.31
a_1,0.74,0.84,0.76,0.65,0.57,0.95,0.51,0.5,0.44,0.48,0.4,0.44,0.47,0.28,0.36,0.3
h_1,0.88,1.1,0.95,0.93,0.78,0.61,0.8,0.58,0.58,0.48,0.46,0.49,0.47,0.38,0.39,0.57
g_1,0.93,0.93,1.17,0.96,0.92,0.59,0.67,0.8,0.55,0.61,0.69,0.46,0.46,0.38,0.44,0.44
d_0,0.88,1.02,0.86,1.4,0.98,0.72,0.64,0.59,0.74,0.46,0.53,0.5,0.55,0.4,0.39,0.47
c_0,1.16,1.07,0.91,0.89,0.87,0.67,0.81,0.65,0.7,0.73,0.59,0.88,0.58,0.53,0.4,0.5
f_0,0.89,0.99,1.02,1.13,1.08,0.74,0.79,0.62,0.62,0.56,0.74,0.52,0.64,0.45,0.73,0.52
b_0,1.03,1.1,0.97,1.21,0.91,0.54,0.74,0.72,0.67,0.54,0.6,0.73,0.62,0.79,0.43,0.51
h_0,1.13,1.35,1.15,1.04,0.96,0.7,0.64,0.85,0.68,0.61,0.58,0.57,0.53,0.51,0.42,0.62
a_0,1.22,1.23,1.09,1.16,1.22,0.71,0.8,0.73,0.72,0.63,0.69,0.55,0.58,0.68,0.48,0.62
e_0,1.05,1.37,1.25,1.12,1.01,0.77,0.89,0.67,0.76,0.75,0.55,0.69,0.73,0.49,0.68,0.52
g_0,0.9,1.2,1.55,1.13,1.09,0.87,0.64,0.61,0.57,0.69,0.81,0.6,0.62,0.44,0.58,0.49
