,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,103.26,52.93,56.62,80.08,95.74,327.23,9609.35,21712.46,21339.49,24280.22,33027.12,37238.77,88533.98,119956.4,149488.23,107322.53
f_1,75.35,122.56,57.62,59.87,73.2,207.8,6427.57,13596.84,14607.1,19251.16,28631.34,18027.14,73523.55,79461.43,132680.02,77733.69
d_1,43.41,60.81,131.95,53.76,77.16,263.58,8679.35,9745.85,14308.96,31802.54,37697.73,33524.02,83267.21,87095.08,121235.02,118852.92
c_1,36.6,54.24,61.02,136.46,125.0,251.69,8223.65,11016.63,16458.02,10611.73,23312.84,26128.71,80109.29,77156.03,127932.63,130978.83
b_1,35.66,47.7,58.19,47.33,173.12,401.93,7339.08,11525.12,14697.13,18178.96,15993.89,30779.21,66748.64,63569.62,106767.68,131955.22
a_1,23.56,37.11,38.23,42.3,43.56,463.13,4772.92,8088.42,10990.39,13693.81,22446.95,21771.83,48913.56,38876.52,69531.08,75621.33
h_1,10.28,19.18,16.28,15.06,19.27,65.58,3632.09,3885.66,5808.52,5367.29,6415.8,7775.51,15439.17,23980.15,55084.59,36136.49
d_0,9.1,12.48,8.54,23.86,19.47,62.76,1800.71,4424.24,3735.85,3716.02,7366.8,7120.12,21654.29,18708.98,30635.75,29649.58
g_1,7.54,10.64,18.03,13.0,15.8,43.54,1498.8,2515.68,6725.91,3872.8,6402.72,9494.58,16067.73,19794.88,21113.63,29844.0
c_0,8.25,12.66,10.6,12.76,15.73,54.55,1688.09,3182.22,3704.34,6070.84,11127.75,6554.84,18827.56,20402.41,27470.78,27247.96
b_0,8.8,10.98,9.24,13.06,10.94,29.22,1795.9,2315.72,3414.45,2833.25,8675.82,6660.52,17986.38,30337.43,23467.43,19654.28
f_0,6.45,7.26,11.98,13.27,14.82,45.38,1606.36,2417.4,2903.38,3440.7,5063.3,8790.14,15704.42,16330.62,24981.95,40846.13
h_0,6.26,9.52,7.93,9.12,11.96,29.94,893.84,1697.91,2890.71,2505.15,4101.25,4172.28,8286.63,12055.61,20705.35,18250.16
a_0,5.16,7.67,8.67,8.28,9.92,17.05,1125.54,1795.61,2342.11,2383.34,3111.72,4471.03,13339.9,20008.0,21631.96,17035.31
g_0,4.42,6.17,10.13,7.29,10.68,30.55,691.54,1392.78,1565.92,2621.16,3472.53,4923.97,9111.44,8944.0,14080.44,17129.08
e_0,3.44,8.61,8.19,7.04,7.98,26.13,900.77,1442.71,1865.28,2434.47,4036.73,2915.09,10250.88,10480.0,14910.2,25685.99
