,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.87,2.95,2.59,2.56,2.86,2.83,11.84,21.58,11.5,9.7,16.76,14.34,20.77,16.07,20.45,16.21
f_1,2.43,6.18,4.68,2.73,2.37,2.64,10.23,10.75,10.24,14.61,12.33,9.61,20.24,13.54,17.66,11.2
e_1,2.49,3.0,6.39,3.58,2.94,2.96,10.41,11.46,9.66,21.93,13.77,13.95,21.36,14.06,19.45,12.78
c_1,2.86,2.55,2.63,7.48,5.12,2.78,8.23,8.92,9.35,12.39,8.8,12.13,19.51,11.98,17.68,15.55
b_1,2.9,2.5,2.55,2.52,8.08,5.91,10.1,12.21,9.81,12.26,11.56,15.47,19.41,11.99,21.44,14.29
a_1,2.95,3.13,2.73,3.18,2.78,10.97,10.86,12.14,11.01,13.18,13.94,13.12,19.75,10.45,22.27,13.46
h_1,3.16,3.78,3.01,3.37,2.29,2.8,18.28,13.22,15.45,12.97,12.83,15.0,17.56,15.13,24.43,16.0
c_0,3.15,3.31,3.15,2.45,2.49,3.29,12.5,19.34,12.94,13.97,26.23,13.57,22.35,22.46,23.96,18.84
g_1,4.14,2.8,2.61,3.2,2.8,2.73,10.42,13.63,21.88,10.4,14.77,20.41,20.18,15.62,18.02,21.39
d_0,2.31,3.03,3.01,5.01,3.61,3.02,10.11,10.86,10.04,19.37,13.72,13.17,19.37,13.34,18.9,14.95
b_0,3.07,3.26,3.1,3.6,2.33,2.7,12.12,13.51,11.93,12.88,22.96,15.35,22.2,29.03,23.05,20.26
f_0,3.4,2.59,2.57,3.35,3.43,3.34,12.31,14.52,13.14,12.84,14.0,24.3,21.3,17.19,23.75,31.42
h_0,3.22,3.91,3.15,2.95,3.15,2.73,10.05,12.61,12.32,13.42,12.98,14.23,17.62,16.05,28.55,15.29
a_0,3.14,3.54,3.08,3.18,2.69,2.3,13.02,14.89,12.27,13.88,13.27,14.53,24.67,29.7,24.63,17.85
g_0,4.41,2.8,2.63,3.21,2.77,2.66,11.29,15.0,11.14,12.0,13.89,21.41,20.85,15.59,20.72,19.0
e_0,3.21,3.56,2.34,3.36,2.94,3.68,11.9,13.95,12.44,14.06,15.01,13.52,23.59,14.28,21.23,28.15
