,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.42,1.77,1.61,1.52,1.67,1.62,3.55,5.22,3.17,3.09,4.32,3.75,4.56,4.06,4.14,4.1
f_1,1.49,2.49,2.42,1.68,1.5,1.54,3.01,3.09,3.26,3.94,3.35,2.98,4.27,3.55,4.23,3.0
e_1,1.58,1.57,2.53,2.04,1.78,1.72,3.25,3.33,3.23,5.33,3.76,4.0,4.75,3.76,4.65,3.74
c_1,1.77,1.6,1.51,2.73,2.68,1.58,2.69,2.89,2.96,3.06,2.59,3.32,4.42,3.32,4.14,3.88
b_1,1.73,1.62,1.54,1.35,2.84,2.94,3.41,3.58,3.18,3.34,3.65,4.05,4.45,3.45,4.89,3.81
a_1,1.78,1.87,1.64,1.87,1.41,3.32,3.46,3.43,3.55,3.62,4.0,3.62,4.66,3.27,5.11,3.59
h_1,1.73,2.04,1.72,1.98,1.39,1.58,4.27,3.46,4.19,3.6,3.39,3.86,4.12,3.72,5.03,3.9
c_0,1.6,1.91,1.86,1.58,1.49,1.83,3.68,4.4,3.71,3.95,6.1,3.64,4.91,5.18,4.96,4.53
g_1,2.14,1.65,1.54,1.84,1.65,1.54,2.95,3.53,4.68,3.03,3.82,4.71,4.28,3.95,4.05,4.85
d_0,1.53,1.69,1.54,2.53,2.01,1.72,3.17,3.11,3.28,4.4,3.79,3.6,4.38,3.62,4.42,3.85
b_0,1.66,1.85,1.78,2.16,1.45,1.54,3.65,3.19,3.47,3.53,4.8,4.06,4.92,6.41,4.91,4.74
f_0,1.86,1.63,1.51,1.91,1.83,1.83,3.58,3.8,3.43,3.53,3.66,4.93,4.71,4.29,4.49,6.72
h_0,1.8,2.08,1.75,1.7,1.76,1.55,3.22,3.4,3.57,3.64,3.45,3.75,4.2,3.89,5.78,3.67
a_0,1.74,1.98,1.75,1.89,1.63,1.44,3.78,3.59,3.54,3.78,3.08,3.84,5.14,5.45,5.08,4.35
g_0,2.26,1.7,1.57,1.84,1.57,1.49,3.27,3.89,3.42,3.39,3.63,4.95,4.21,3.85,4.55,4.53
e_0,1.78,2.04,1.46,1.8,1.67,1.94,3.53,3.69,3.34,3.85,3.68,3.09,5.06,3.67,4.34,5.31
