,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.89,0.23,0.16,0.13,0.13,0.12,0.19,0.08,0.31,0.12,0.19,0.16,0.16,0.12,0.11,0.12
f_1,0.17,0.89,0.34,0.18,0.12,0.1,0.17,0.16,0.17,0.11,0.15,0.05,0.18,0.08,0.06,0.1
e_1,0.16,0.21,0.89,0.2,0.15,0.1,0.14,0.34,0.16,0.13,0.14,0.14,0.19,0.11,0.05,0.13
c_1,0.21,0.16,0.17,0.89,0.29,0.07,0.16,0.17,0.06,0.13,0.11,0.14,0.16,0.11,0.11,0.14
b_1,0.19,0.18,0.16,0.19,0.88,0.21,0.17,0.19,0.12,0.13,0.06,0.14,0.14,0.06,0.11,0.1
a_1,0.2,0.26,0.16,0.17,0.1,0.88,0.16,0.15,0.16,0.14,0.15,0.14,0.19,0.05,0.09,0.14
h_1,0.25,0.33,0.19,0.21,0.17,0.13,0.56,0.18,0.21,0.19,0.17,0.17,0.12,0.12,0.14,0.18
d_0,0.08,0.21,0.2,0.41,0.2,0.17,0.19,0.43,0.16,0.15,0.2,0.15,0.22,0.13,0.1,0.17
c_0,0.28,0.24,0.22,0.13,0.16,0.14,0.24,0.21,0.42,0.18,0.35,0.21,0.21,0.17,0.13,0.16
g_1,0.37,0.2,0.16,0.22,0.2,0.12,0.18,0.17,0.19,0.55,0.17,0.3,0.21,0.1,0.14,0.11
b_0,0.25,0.26,0.21,0.23,0.08,0.1,0.25,0.2,0.23,0.19,0.44,0.19,0.26,0.28,0.16,0.18
f_0,0.32,0.12,0.19,0.24,0.22,0.1,0.19,0.17,0.26,0.19,0.2,0.42,0.25,0.13,0.31,0.15
h_0,0.24,0.32,0.18,0.21,0.19,0.15,0.12,0.2,0.22,0.25,0.21,0.18,0.11,0.14,0.12,0.22
a_0,0.28,0.24,0.22,0.24,0.15,0.06,0.25,0.22,0.22,0.17,0.22,0.15,0.23,0.4,0.14,0.16
e_0,0.26,0.25,0.16,0.2,0.23,0.11,0.2,0.21,0.28,0.17,0.17,0.21,0.28,0.16,0.39,0.21
g_0,0.41,0.21,0.15,0.21,0.21,0.15,0.18,0.16,0.21,0.12,0.2,0.28,0.2,0.12,0.16,0.13
