,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.66,1.06,0.87,1.14,0.95,1.13,1.0,0.96,1.55,1.02,0.98,0.91,0.9,,1.22
f_1,1.51,1.0,1.1,1.02,0.9,1.16,0.75,1.22,0.77,0.88,0.98,,0.77,1.07,0.91,0.91
d_1,0.95,0.91,1.0,1.16,0.87,1.0,1.07,1.62,0.87,,0.94,1.0,1.0,0.91,1.14,0.69
c_1,1.15,0.98,0.86,1.0,1.4,0.95,1.04,,1.14,0.6,1.02,1.09,0.98,0.97,0.97,1.08
b_1,0.88,1.11,1.15,0.71,1.0,1.3,1.24,0.85,0.78,1.02,,1.08,1.11,0.89,1.04,1.06
a_1,1.05,0.86,1.0,1.05,0.77,1.0,1.08,1.07,0.97,0.83,1.03,0.95,1.21,,,1.07
h_1,0.89,1.33,0.93,0.96,0.8,0.93,1.0,0.89,1.23,1.22,0.95,1.06,,0.91,0.77,1.12
c_0,1.0,0.82,0.62,,1.17,0.94,1.12,1.0,1.0,0.77,1.3,1.1,1.33,1.08,1.0,1.1
g_1,1.05,1.29,1.15,0.88,1.27,1.03,0.81,1.0,1.0,0.96,0.98,1.02,0.82,,0.91,
d_0,0.64,1.14,,1.67,0.98,1.21,0.82,1.3,1.04,1.0,1.15,0.79,1.07,0.77,0.97,1.08
b_0,0.98,1.02,1.07,0.98,,0.97,1.05,0.77,1.02,0.87,1.0,1.11,0.9,1.59,1.03,1.08
f_0,1.02,,1.0,0.92,0.93,1.05,0.95,0.91,0.98,1.26,0.9,1.0,0.95,1.0,1.39,0.91
h_0,1.1,1.3,1.0,1.02,0.9,0.83,,0.75,1.21,0.93,1.11,1.05,,0.68,0.82,1.06
a_0,1.11,0.94,1.1,1.04,1.12,,1.1,0.92,,1.3,0.63,1.0,1.46,1.0,1.04,0.79
e_0,,1.1,0.88,1.03,0.97,,1.31,1.0,1.1,1.03,0.97,0.72,1.21,0.96,1.0,1.03
g_0,0.82,1.1,1.44,0.93,0.95,0.94,0.89,0.91,,0.93,0.93,1.1,0.95,1.26,0.97,
