,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.52,1.14,0.68,0.67,0.66,0.56,0.83,0.78,0.92,0.78,0.56,0.78,0.86,0.57,0.77,0.76
e_1,0.74,1.52,0.92,0.67,0.65,0.64,0.83,0.75,1.42,0.82,0.96,0.86,0.92,0.64,0.78,0.9
c_1,0.81,0.65,1.54,0.79,1.13,0.46,0.9,0.79,0.75,0.52,0.81,0.64,0.98,0.77,0.69,0.92
d_1,0.87,0.73,0.63,1.56,0.69,0.51,0.88,0.69,0.74,1.45,0.9,0.82,0.99,0.77,0.67,0.94
b_1,0.79,0.77,0.7,0.72,1.6,1.14,0.97,0.72,0.8,0.88,0.81,0.59,0.89,0.74,0.7,0.82
a_1,0.89,0.88,1.01,0.86,0.53,1.78,0.93,0.95,0.97,0.74,1.01,1.15,1.08,0.94,0.54,0.83
h_1,1.29,1.0,0.96,1.02,0.85,0.72,1.74,1.33,1.12,1.08,1.09,1.01,1.02,1.03,0.84,1.42
g_1,0.98,0.88,0.97,1.51,0.89,0.7,1.01,1.84,1.02,1.15,1.68,1.12,1.03,0.91,1.02,0.87
d_0,1.0,0.89,1.64,0.64,1.06,0.81,1.1,1.17,1.56,0.87,1.19,1.07,1.28,0.98,1.1,1.1
c_0,1.19,1.07,0.97,0.96,0.67,0.87,1.1,1.11,1.33,1.68,1.11,2.01,1.46,1.11,1.16,1.34
f_0,0.82,0.88,1.23,1.13,1.09,0.83,1.12,0.94,1.29,1.2,1.72,1.31,1.41,1.7,1.03,1.02
b_0,1.11,1.12,1.19,1.19,0.63,0.61,1.32,1.28,1.27,1.07,1.13,1.74,1.59,0.97,1.9,1.2
h_0,1.38,1.04,1.1,1.12,1.01,0.75,1.04,1.55,1.18,1.15,1.19,1.1,1.16,1.06,1.09,1.43
e_0,1.29,0.83,1.06,1.18,1.06,0.89,1.17,1.37,1.27,1.36,1.2,1.54,1.54,1.78,1.24,1.16
a_0,1.07,1.0,1.23,1.37,1.0,0.65,1.45,1.28,1.31,1.29,1.21,0.99,1.58,0.98,1.75,1.35
g_0,0.99,0.99,0.98,1.44,1.15,0.87,1.07,1.12,1.27,1.33,1.81,1.32,1.4,1.31,1.1,0.99
