,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.24,1.13,1.28,1.68,3.26,13.36,30.81,28.32,27.28,43.32,48.19,65.81,83.69,102.72,88.71
e_1,0.82,1.0,1.01,1.5,1.73,3.57,16.16,37.38,30.71,28.74,42.18,57.87,72.56,83.75,101.83,107.51
d_1,0.9,0.96,1.0,1.0,1.43,3.25,13.12,25.31,21.38,32.61,38.61,45.14,65.66,70.2,75.01,89.14
c_1,0.76,0.69,1.03,1.0,1.63,3.0,11.52,16.13,25.83,21.32,27.88,39.39,62.71,60.6,73.47,80.91
b_1,0.58,0.56,0.68,0.63,1.0,3.19,9.01,15.99,18.1,20.59,27.7,27.18,39.52,42.19,61.53,58.74
a_1,0.31,0.28,0.3,0.33,0.33,1.0,4.4,9.17,8.81,9.25,14.94,14.29,22.27,24.52,25.93,28.32
h_1,0.08,0.06,0.08,0.08,0.11,0.21,1.0,1.77,2.27,1.75,2.61,3.1,5.08,4.88,7.71,6.23
d_0,0.03,0.03,0.04,0.06,0.06,0.11,0.57,1.0,1.13,0.86,1.37,1.77,2.68,2.77,3.82,4.25
g_1,0.03,0.03,0.05,0.04,0.06,0.12,0.44,0.9,1.0,1.01,1.38,1.97,2.16,2.64,3.11,3.34
c_0,0.04,0.03,0.03,0.05,0.05,0.11,0.54,1.14,0.97,1.0,1.84,1.67,2.74,3.34,3.48,3.64
b_0,0.02,0.02,0.03,0.03,0.04,0.07,0.38,0.72,0.71,0.57,1.0,1.2,1.87,2.65,2.33,2.2
f_0,0.02,0.02,0.02,0.02,0.04,0.07,0.31,0.58,0.51,0.57,0.84,1.0,1.51,1.65,1.61,2.79
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.2,0.36,0.47,0.36,0.54,0.66,1.0,1.07,1.38,1.23
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.36,0.36,0.31,0.39,0.59,0.96,1.0,1.2,1.14
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.13,0.27,0.32,0.28,0.42,0.62,0.71,0.82,1.0,1.12
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.25,0.31,0.27,0.42,0.37,0.8,0.89,0.91,1.0
