,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,110.23,52.48,37.06,40.22,67.89,237.64,5954.42,10643.37,13473.95,13387.69,7802.85,23647.6,42183.35,44296.62,63767.5,80822.25
e_1,33.13,110.51,47.72,40.75,59.27,258.23,5338.4,8755.46,18347.6,14174.69,18196.07,24470.11,46684.32,32889.91,64226.88,104660.18
c_1,35.04,29.5,126.05,40.61,99.35,172.79,5508.24,9935.95,9474.35,7040.17,15161.0,14666.86,51528.55,68209.74,55518.12,117167.12
d_1,36.84,31.65,34.43,133.92,65.83,156.06,5299.81,8290.82,6367.71,23628.06,14057.77,21400.89,48385.13,52219.28,47973.07,93654.35
b_1,27.61,28.49,32.21,31.26,189.06,364.1,4815.89,7169.22,9304.64,11828.89,12079.31,9002.85,34378.37,48199.69,50094.19,75552.58
a_1,18.86,19.75,24.58,25.73,25.55,558.36,2709.07,5409.85,5727.31,5765.05,9274.72,15722.9,24014.97,43348.21,16261.59,43314.14
h_1,12.47,10.42,13.03,13.33,18.57,76.62,3312.13,3764.71,3322.22,4072.3,5416.64,6916.17,7583.1,20378.57,15568.49,37922.99
g_1,8.25,7.45,8.88,16.18,15.44,56.35,1099.7,5473.12,2826.29,3417.41,6037.42,6781.47,8482.95,12738.28,17329.54,17794.1
d_0,8.22,7.8,16.23,5.58,16.04,70.27,1443.63,2365.74,4581.1,3133.63,4253.5,6149.49,11027.98,15248.05,20635.19,26967.72
c_0,10.28,8.37,7.04,9.53,11.32,59.16,1264.05,2365.53,3028.39,5669.31,4296.62,10013.84,12539.17,14353.24,17919.16,30047.79
f_0,4.29,6.84,10.54,11.83,16.02,55.69,1037.93,1704.92,2889.94,3189.95,6332.98,6657.07,11322.69,22352.53,12227.05,19921.62
b_0,7.11,7.05,9.96,10.72,6.25,36.74,1045.87,1984.66,2396.45,2176.13,2560.33,8600.48,10697.02,9684.08,25244.34,19994.27
h_0,6.96,5.05,6.82,7.84,11.2,35.76,628.46,2212.73,2040.07,2169.08,2579.39,3882.56,5956.5,11277.7,12895.41,22707.38
e_0,6.71,2.47,5.65,7.2,9.57,26.24,743.04,1714.87,1508.75,2482.26,2087.81,5066.79,6484.36,18216.26,12055.06,16287.54
a_0,5.13,4.71,6.92,8.15,8.02,21.29,882.55,1305.03,1283.46,2071.94,2165.75,3091.47,6816.55,7582.93,19115.25,15678.81
g_0,4.68,4.28,4.54,7.87,8.6,30.93,574.22,624.12,1315.65,1481.21,2723.82,3278.19,5224.88,9499.92,7196.92,8617.07
