,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,98.05,68.35,96.6,74.83,93.13,278.16,10198.51,15895.03,20540.82,20403.48,46693.55,31510.94,91203.23,116317.03,131621.3,193111.3
c_1,44.29,122.6,56.19,129.19,93.18,248.23,8851.49,14245.92,9987.07,17573.88,22999.04,39742.3,72658.88,107757.91,129062.43,176989.28
e_1,43.88,74.65,129.58,78.37,64.53,235.37,12102.17,25006.34,18309.97,16013.5,38876.77,48392.55,83104.34,115534.32,77828.42,185837.77
b_1,44.83,47.37,56.84,152.96,80.67,402.82,10056.91,12465.32,17501.84,17581.96,25367.96,43373.02,68083.04,92407.37,150832.95,148623.19
d_1,41.33,37.4,64.36,66.7,163.76,255.79,8709.73,10940.31,27423.55,14176.08,40031.97,53639.85,95434.82,109158.91,135433.53,145937.95
a_1,30.52,37.55,40.05,39.68,59.37,431.66,6916.78,8706.82,10676.14,10641.57,26306.14,30498.94,41861.61,61740.0,94363.77,110305.77
h_1,13.79,17.62,13.92,17.75,21.49,60.51,4141.48,3820.27,4342.76,5756.39,9459.27,10747.58,21134.71,24313.04,31501.09,50156.61
d_0,10.91,21.37,11.67,19.38,14.68,51.53,2284.46,4720.73,3177.69,3497.86,5991.26,10439.11,18488.17,25048.85,37603.22,39713.03
c_0,9.96,12.05,13.79,13.48,16.74,55.65,2309.66,3723.56,5784.41,3706.53,13247.13,10956.5,25506.91,27094.89,33251.97,38256.15
g_1,8.57,12.44,13.17,13.47,27.62,48.77,1683.88,2906.2,4121.61,6486.7,7514.22,12879.88,19510.47,21947.37,30045.69,29328.22
b_0,8.16,12.17,10.72,9.51,14.62,36.9,1654.32,3293.65,3050.68,2879.74,9389.46,7626.05,27795.74,20266.82,24371.47,33681.4
f_0,7.57,11.17,8.52,11.95,12.18,45.81,1799.97,2845.13,3071.23,2300.69,6606.58,11307.75,15063.53,18551.72,37748.22,24949.27
a_0,7.13,8.64,8.88,9.7,9.42,27.69,1465.27,2224.13,2070.99,2257.51,4061.0,6086.18,18941.07,16694.9,19934.53,20543.7
h_0,7.54,8.14,7.0,10.17,10.05,33.81,889.75,2126.04,2174.73,2683.94,4948.93,5485.17,11415.79,10931.53,19807.92,24268.77
e_0,6.19,6.32,5.91,8.97,10.05,28.6,1299.77,1547.92,2061.62,1988.19,3946.16,4656.68,10474.37,12157.27,25785.04,21509.08
g_0,4.33,6.28,5.71,8.51,12.79,29.19,1145.2,1680.45,1959.82,1548.13,3902.22,7201.44,10023.18,12187.6,19086.98,15334.89
