,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.52,1.31,0.82,0.87,0.77,0.6,0.9,0.94,1.04,0.94,0.75,0.98,1.0,0.9,0.71,0.96
e_1,0.85,1.52,0.81,1.05,0.91,0.7,1.0,1.01,1.64,1.0,1.14,1.07,1.15,0.96,0.8,1.08
d_1,1.01,0.94,1.54,0.75,0.77,0.61,0.99,0.91,0.96,1.62,1.06,1.13,1.19,0.98,0.98,0.94
c_1,0.93,0.86,0.97,1.58,1.37,0.7,1.01,0.98,0.82,0.63,1.0,0.72,0.98,0.86,0.97,0.89
b_1,1.04,0.9,0.97,0.75,1.63,1.37,1.17,1.05,1.07,0.98,0.93,0.76,1.2,0.73,0.94,0.98
a_1,1.15,1.04,1.15,0.91,0.72,1.79,1.27,1.22,0.94,1.22,1.19,1.32,1.37,0.65,0.94,1.13
h_1,1.49,1.11,1.21,1.14,0.96,0.91,1.82,1.44,1.32,1.02,1.15,1.07,1.1,0.97,1.02,1.59
g_1,1.18,1.09,1.55,1.21,0.94,0.82,1.22,1.84,1.16,1.32,1.6,1.12,1.19,1.25,1.18,1.04
d_0,1.16,1.02,0.84,1.93,1.2,1.13,1.28,1.36,1.75,0.95,1.35,1.07,1.33,1.19,1.04,1.26
c_0,1.38,1.21,1.19,1.16,0.9,0.86,1.56,1.31,1.5,1.8,1.24,2.3,1.46,1.48,1.26,1.41
f_0,1.12,1.01,1.28,1.21,1.25,0.93,1.58,1.24,1.37,1.46,1.82,1.18,1.48,1.04,2.07,1.37
b_0,1.37,1.05,1.32,1.51,0.91,0.7,1.39,1.29,1.52,1.13,1.4,1.83,1.65,2.2,1.28,1.54
h_0,1.6,1.25,1.26,1.2,0.99,0.9,1.25,1.78,1.44,1.34,1.38,1.42,1.33,1.34,1.16,1.63
a_0,1.31,1.17,1.42,1.33,1.35,0.75,1.66,1.31,1.34,1.3,1.37,1.09,1.58,1.85,1.43,1.52
e_0,1.46,1.01,1.34,1.27,1.18,1.14,1.69,1.34,1.65,1.37,1.23,1.48,1.84,1.25,1.83,1.23
g_0,1.27,1.15,1.68,1.31,1.18,1.02,1.29,1.27,1.27,1.68,1.95,1.41,1.52,1.36,1.56,1.29
