,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,95.9,100.43,107.85,109.89,145.34,388.36,12907.79,20923.67,28527.26,28941.58,44894.73,47449.57,113810.49,158782.15,194009.94,352611.08
e_1,59.9,101.14,138.72,106.57,154.9,391.07,13521.81,28979.97,29639.68,28705.32,50251.07,65379.6,134265.3,193725.43,217880.29,309831.44
c_1,54.01,48.61,144.76,101.75,219.99,448.3,12258.68,14082.78,20806.7,24363.49,28706.01,50885.19,107982.2,190111.24,148052.12,262210.06
d_1,63.48,60.19,79.15,156.78,121.03,318.68,11925.6,14572.81,38687.36,22656.28,46196.02,47033.21,112022.87,161422.45,180448.61,255468.71
b_1,48.84,48.55,69.67,94.32,197.56,572.45,10711.38,13612.1,23565.78,22742.89,30309.26,46203.92,89283.89,157796.46,117791.93,247063.9
a_1,37.84,35.72,57.58,68.84,69.66,456.65,8671.21,11309.72,18178.96,18017.11,30077.73,37422.34,70597.23,115352.55,102935.8,180972.91
h_1,16.8,15.3,23.42,28.79,33.65,74.21,4045.48,3948.29,6281.73,7960.25,10326.55,13391.9,24003.38,49167.69,51479.38,82863.85
d_0,11.91,12.34,32.18,21.37,38.39,77.93,2897.31,4613.38,5337.87,6058.27,9171.02,12676.1,25007.91,46218.9,41499.41,70426.5
c_0,12.1,12.19,19.64,20.11,23.48,73.0,2747.41,3646.05,6732.19,5797.04,13322.42,10384.69,22380.54,37566.51,44240.92,62795.36
g_1,10.92,11.74,18.83,26.24,23.89,65.18,2141.59,3032.18,5192.7,7408.32,7722.8,13160.22,18883.24,40353.83,38242.31,48969.73
b_0,11.34,10.84,19.04,17.26,19.96,44.66,2198.67,3103.66,3981.29,4934.15,9418.05,8428.81,21887.24,31682.25,56393.46,54548.27
f_0,9.16,8.2,16.89,19.21,22.14,57.49,2005.86,2757.13,4547.37,3990.84,7071.11,11170.15,17021.16,49679.02,33175.56,45372.12
h_0,9.01,7.83,12.78,14.69,16.99,48.58,1469.52,2264.5,3522.3,4214.74,5707.15,6701.35,13923.06,22108.54,23913.42,47675.65
e_0,6.82,5.66,10.61,12.87,15.61,40.63,1299.88,1610.62,3024.58,2783.69,4287.83,5284.0,11691.22,27378.84,21760.91,35640.56
a_0,6.83,6.37,11.39,10.96,17.53,28.77,1364.6,2145.08,2866.82,2649.75,4056.96,5429.63,13471.63,22518.74,28654.43,33202.37
g_0,5.35,5.54,9.14,14.11,12.8,33.44,1140.84,1456.06,2918.16,2414.27,4132.37,6565.64,9943.29,19585.43,19059.51,25274.36
