,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.41,1.14,0.84,0.85,0.83,0.64,1.2,1.43,1.57,1.38,1.68,0.93,1.45,1.79,2.3,1.21
e_1,0.74,2.42,0.69,0.7,0.76,0.67,1.62,1.48,2.93,1.85,2.01,2.11,1.8,2.06,2.03,1.04
d_1,0.74,0.72,2.49,0.7,0.72,0.85,1.54,1.28,0.82,2.76,2.01,1.78,1.58,2.61,1.77,2.19
c_1,0.76,0.87,0.77,2.55,1.25,0.71,1.28,1.38,1.31,0.65,1.45,1.64,1.8,2.06,2.01,1.46
b_1,0.66,0.74,0.8,0.66,2.76,1.36,1.64,1.45,1.77,1.44,0.75,2.1,1.45,2.11,2.02,1.73
a_1,0.86,0.84,0.82,0.73,0.62,3.17,1.93,1.77,1.61,1.83,1.54,1.37,0.98,2.18,1.91,1.63
h_1,1.4,0.88,0.99,1.05,0.85,0.83,3.94,2.35,2.46,2.38,1.9,2.26,1.83,1.83,3.49,2.44
g_1,0.9,0.92,1.62,1.11,0.84,0.81,1.74,4.29,1.5,1.91,1.94,2.62,1.65,2.16,2.04,2.15
d_0,1.08,0.78,0.63,1.86,1.01,1.03,2.05,2.15,3.66,2.14,2.15,2.3,2.39,2.84,2.61,2.26
c_0,1.32,0.97,0.93,0.83,0.93,0.95,1.86,2.52,2.23,3.79,4.45,2.63,2.77,2.93,2.74,2.28
b_0,1.21,0.91,0.93,1.24,0.73,0.96,2.25,1.95,2.48,1.57,3.93,2.04,4.31,3.35,3.29,2.63
f_0,0.78,0.78,1.14,1.15,0.93,1.24,2.32,1.8,2.5,2.28,2.39,4.17,2.34,2.67,2.91,5.09
a_0,1.37,1.03,1.1,1.2,1.01,,2.07,2.43,2.27,1.96,2.12,2.33,4.6,2.8,2.87,1.85
h_0,1.55,0.91,0.9,1.13,0.93,0.84,0.99,2.59,1.86,2.13,2.03,2.44,2.4,2.0,3.67,2.3
g_0,0.83,0.96,1.44,1.02,0.95,1.06,1.76,1.17,2.47,2.17,1.92,3.11,2.45,2.18,1.77,2.49
e_0,1.41,0.63,0.93,1.27,0.97,0.95,1.78,1.57,2.47,2.59,2.46,1.4,2.57,2.77,2.94,5.16
