,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.94,0.28,0.21,0.27,0.19,0.21,0.2,0.33,0.16,0.17,0.2,0.17,0.16,0.19,0.15,0.09
f_1,0.47,0.94,0.26,0.27,0.23,0.15,0.21,0.17,0.15,0.19,0.13,0.06,0.12,0.14,0.14,0.07
d_1,0.34,0.35,0.94,0.22,0.21,0.19,0.22,0.09,0.14,0.29,0.16,0.17,0.14,0.15,0.13,0.13
c_1,0.32,0.33,0.34,0.94,0.38,0.15,0.19,0.16,0.18,0.06,0.15,0.14,0.12,0.15,0.1,0.12
b_1,0.35,0.31,0.35,0.24,0.93,0.34,0.25,0.16,0.19,0.14,0.1,0.2,0.14,0.2,0.15,0.17
a_1,0.32,0.37,0.34,0.36,0.2,0.93,0.26,0.23,0.2,0.21,0.2,0.2,0.07,0.22,0.27,0.14
h_1,0.54,0.7,0.57,0.51,0.4,0.29,0.72,0.27,0.37,0.33,0.3,0.31,0.24,0.16,0.32,0.25
d_0,0.44,0.69,0.3,0.96,0.57,0.39,0.41,0.6,0.33,0.27,0.32,0.3,0.23,0.3,0.27,0.26
g_1,0.56,0.56,0.83,0.54,0.37,0.34,0.34,0.32,0.72,0.34,0.31,0.52,0.25,0.23,0.23,0.27
c_0,0.76,0.67,0.53,0.39,0.55,0.38,0.39,0.46,0.29,0.6,0.54,0.37,0.24,0.35,0.37,0.24
b_0,0.6,0.85,0.69,0.63,,0.29,0.44,0.44,0.35,0.29,0.62,0.34,0.43,0.31,0.34,0.3
f_0,0.64,0.5,0.68,0.67,0.44,0.39,0.42,0.44,0.27,0.32,0.36,0.63,0.32,0.34,0.33,0.48
a_0,0.6,0.77,0.69,0.78,0.53,,0.51,0.53,0.33,0.41,0.34,0.35,0.62,0.39,0.35,0.33
h_0,0.63,0.98,0.68,0.62,0.38,0.46,0.35,0.47,0.47,0.31,0.35,0.34,0.28,0.23,0.47,0.23
g_0,0.69,0.66,0.95,0.76,0.48,0.32,0.47,0.43,,0.33,0.42,0.51,0.31,0.32,0.23,0.26
e_0,0.3,1.12,0.73,0.71,0.52,0.45,0.46,0.43,0.36,0.4,0.36,0.3,0.3,0.38,0.4,0.58
