,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,0.9,1.08,0.97,0.84,0.65,0.86,0.72,0.6,0.65,0.75,0.53,0.6,0.55,0.62
f_1,1.23,1.0,0.93,0.99,0.84,0.71,0.6,0.69,0.69,0.59,0.59,0.56,0.59,0.53,0.47,0.55
d_1,1.1,1.07,1.0,0.93,0.85,0.81,0.79,0.65,0.57,0.82,0.71,0.59,0.62,0.54,0.56,0.48
c_1,0.9,1.01,1.1,1.0,1.26,0.89,0.74,0.49,0.65,0.59,0.52,0.58,0.58,0.6,0.59,0.57
b_1,1.03,1.19,1.14,0.82,1.0,1.21,0.77,0.67,0.69,0.76,0.62,0.61,0.58,0.66,0.65,0.55
a_1,1.18,1.35,1.23,1.13,0.84,1.0,0.97,0.74,0.87,0.8,0.84,0.72,0.65,0.76,0.65,0.69
h_1,1.47,1.61,1.34,1.4,1.3,1.02,1.0,0.89,0.99,0.84,0.81,0.81,0.8,0.84,0.8,0.89
d_0,1.2,1.44,1.53,2.04,1.57,1.3,1.08,1.0,1.12,0.78,0.97,0.93,0.94,0.94,0.92,0.89
g_1,1.37,1.45,1.73,1.54,1.43,1.2,1.01,0.89,1.0,1.0,0.93,1.11,0.95,0.78,0.99,0.91
c_0,1.63,1.7,1.26,1.8,1.3,1.27,1.2,1.22,1.01,1.0,1.33,0.95,1.07,0.95,0.91,0.93
b_0,1.52,1.68,1.43,1.91,1.69,1.2,1.29,1.01,1.06,0.78,1.01,0.93,1.33,1.01,0.88,0.95
f_0,1.38,1.78,1.66,1.65,1.66,1.34,1.22,1.09,0.92,1.01,1.1,1.0,0.96,0.96,1.32,0.83
a_0,1.81,1.68,1.55,1.67,1.75,1.44,1.21,1.11,1.1,0.97,0.78,1.04,1.0,1.04,0.96,0.95
h_0,1.73,1.86,1.83,1.61,1.59,1.36,1.21,1.09,1.29,1.03,1.01,1.04,0.98,1.0,0.94,1.11
e_0,1.8,2.09,1.74,1.7,1.52,1.55,1.26,1.11,1.03,1.15,1.19,0.79,1.01,1.09,1.0,0.9
g_0,1.65,1.77,2.12,1.7,1.83,1.46,1.13,1.16,1.11,1.14,1.11,1.22,1.1,0.92,1.11,1.0
