,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,5.95,2.57,1.51,1.63,1.48,1.18,4.69,4.84,6.59,5.42,7.35,3.65,6.7,9.58,10.38,4.78
e_1,1.77,5.96,1.3,1.73,1.33,1.42,6.87,5.53,13.13,7.77,9.15,9.02,8.6,10.59,11.96,5.0
d_1,1.59,1.36,6.3,1.28,1.37,1.83,5.28,5.89,3.29,14.23,9.57,8.27,7.23,12.38,11.01,9.4
c_1,1.57,1.56,1.4,6.66,2.83,1.29,4.78,4.66,6.75,2.77,5.2,7.02,7.3,10.16,9.51,6.57
b_1,1.4,1.32,1.62,1.55,7.73,3.12,5.15,5.25,7.26,5.55,2.86,8.25,5.27,10.19,9.77,8.02
a_1,1.55,1.47,1.73,1.47,1.67,10.12,6.77,6.03,6.68,7.22,6.25,7.76,3.95,12.68,11.17,7.42
h_1,2.61,1.7,1.93,1.96,1.63,1.6,16.73,8.89,9.09,9.13,8.29,8.45,7.59,8.24,18.39,10.12
g_1,1.61,1.81,3.29,1.9,1.42,1.59,5.62,19.98,5.25,7.87,8.32,11.74,7.01,12.24,10.25,8.44
d_0,1.85,1.76,1.05,3.73,1.97,1.73,6.9,6.87,16.37,6.38,8.68,8.84,9.14,13.12,12.27,9.03
c_0,2.15,1.99,1.96,1.1,1.45,1.8,6.92,7.81,9.63,17.02,21.43,11.44,11.59,13.95,13.18,11.74
b_0,2.22,1.81,1.97,2.05,1.16,1.46,7.35,7.0,9.47,8.23,18.37,7.66,20.67,17.02,14.15,10.52
f_0,1.35,1.49,2.19,2.18,1.76,2.13,7.73,6.74,10.28,8.47,10.03,20.44,8.97,13.2,14.62,22.22
a_0,2.45,1.89,1.93,2.06,1.68,0.9,7.73,8.51,9.57,7.64,11.25,9.2,23.61,13.17,13.88,7.31
h_0,2.99,1.88,2.07,2.0,1.67,1.32,3.91,10.22,7.49,7.47,8.3,8.96,8.82,8.24,17.91,9.51
g_0,1.71,1.8,2.77,1.78,1.63,1.94,7.23,4.75,9.12,7.73,7.86,14.17,10.24,13.87,9.43,11.93
e_0,1.98,1.39,2.01,2.43,1.72,1.59,6.81,8.23,9.48,9.12,10.12,6.8,11.31,13.91,15.98,29.58
