,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.94,0.23,0.25,0.35,0.24,0.2,0.23,0.33,0.15,0.16,0.18,0.2,0.16,0.09,0.11,0.14
f_1,0.58,0.94,0.25,0.21,0.19,0.17,0.17,0.17,0.17,0.21,0.08,0.12,0.15,0.09,0.14,0.13
d_1,0.27,0.35,0.94,0.26,0.26,0.18,0.2,0.09,0.17,0.31,0.17,0.16,0.16,0.13,0.11,0.13
c_1,0.22,0.3,0.3,0.94,0.45,0.2,0.2,0.17,0.14,0.07,0.18,0.13,0.19,0.12,0.11,0.16
b_1,0.31,0.32,0.3,0.25,0.93,0.34,0.21,0.2,0.16,0.18,0.18,0.11,0.18,0.14,0.11,0.16
a_1,0.32,0.39,0.36,0.32,0.21,0.93,0.2,0.26,0.2,0.17,0.16,0.21,0.23,0.16,0.07,0.16
h_1,0.4,0.7,0.54,0.59,0.46,0.33,0.73,0.35,0.41,0.32,0.29,0.29,0.19,0.23,0.23,0.35
d_0,0.47,0.52,0.34,0.94,0.48,0.32,0.41,0.61,0.38,0.31,0.37,0.37,0.27,0.27,0.29,0.28
g_1,0.54,0.53,0.7,0.61,0.5,0.34,0.32,0.28,0.73,0.33,0.48,0.28,0.29,0.25,0.25,0.16
c_0,0.69,0.62,0.56,0.42,0.4,0.39,0.44,0.43,0.34,0.64,0.39,0.51,0.32,0.23,0.26,0.34
f_0,0.54,0.35,0.62,0.66,0.54,0.47,0.42,0.44,0.37,0.33,0.62,0.39,0.35,0.45,0.32,0.28
b_0,0.51,0.89,0.58,0.69,0.26,0.27,0.44,0.44,0.41,0.35,0.33,0.63,0.35,0.31,0.49,0.34
h_0,0.61,0.83,0.65,0.62,0.51,0.39,0.34,0.48,0.48,0.42,0.41,0.36,0.21,0.25,0.27,0.36
e_0,0.4,0.93,0.65,0.74,0.59,0.42,0.51,0.5,0.47,0.45,0.3,0.36,0.55,0.6,0.4,0.43
a_0,0.79,0.64,0.69,0.77,0.6,0.25,0.54,0.43,0.46,0.48,0.36,0.32,0.38,0.2,0.58,0.33
g_0,0.54,0.61,0.99,0.57,0.55,0.39,0.4,0.42,0.34,0.45,0.55,0.36,0.38,0.29,0.34,0.23
